Spring 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26-30,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,31-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Junior,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuition,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, US Resident",1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,15-17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,No,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.00,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
