Spring 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,1,1,2,1,,1,,,,,,,,,,,,,2,1,3,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,1,1,2,1,,1,,,,,,,,,,,,,2,1,3,
,22-25,,,,,,,,,,,,,,,,,,,,,,
,26-30,,,,,,,,,,,,,,,,,,,,,,
,Freshman,1,1,2,1,,1,,,,,,,,,,,,,2,1,3,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,
,Junior,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,1,,1,1,,1,,,,,,,,,,,,,2,,2,
,Non-Resident  Tuition,,,,,,,,,,,,,,,,,,,,,,
,Tuition,,1,1,,,,,,,,,,,,,,,,,1,1,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,1,1,2,1,,1,,,,,,,,,,,,,2,1,3,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,,1,1,,,,,,,,,,,,,,,,,1,1,
,15-17 SCH,1,,1,1,,1,,,,,,,,,,,,,2,,2,
,Half-Time,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,1,1,2,1,,1,,,,,,,,,,,,,2,1,3,
,No,1,1,2,,,,,,,,,,,,,,,,1,1,2,
,Yes,,,,1,,1,,,,,,,,,,,,,1,,1,
,No,,1,1,1,,1,,,,,,,,,,,,,1,1,2,
,Unknown,,,,,,,,,,,,,,,,,,,,,,
,Yes,1,,1,,,,,,,,,,,,,,,,1,,1,
,1.00,,1,1,,,,,,,,,,,,,,,,,1,1,
,2.00,1,,1,1,,1,,,,,,,,,,,,,2,,2,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,
