Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,SPSA,1,,,,,1,,,,,,,,1,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,2,4,,6,,,,,,,,6,
,WFSC,,,2,4,,6,,2,2,1,1,,,9,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,1,1,,,,,1,
,Subtotal,25,20,51,71,2,169,3,11,14,26,26,,,209,
"Architecture
Business Admin",ARCH,,,,,,,,2,2,,,,,2,
,COMG,,,,,,,,1,1,,,,,1,
,COSC,,,4,1,,5,,,,,,,,5,
,COSL,,1,2,,,3,,,,,,,,3,
,ENDL,1,1,,,,2,,,,,,,,2,
,ENDS,,,,2,,2,,,,,,,,2,
,LAND,,,,,,,,,,,,,,,
,LANL,,1,,,,1,,,,,,,,1,
,LDEV,,,,,,,,2,2,,,,,2,
,NUTR,,,,,,,,,,,,,,,
,URPL,,,,,,,,,,,,,,,
,URSC,1,,3,1,,5,,,,2,2,,,7,
,USAR,,,,1,,1,,,,,,,,1,
,VISL,,2,,,,2,,,,,,,,2,
,VIST,,,,1,,1,,,,,,,,1,
,Subtotal,2,5,9,6,,22,,5,5,2,2,,,29,
,ACCT,,,8,12,,20,,3,3,,,,,23,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,,2,,2,,,,,,,,2,
,BUAD,15,20,3,,,38,1,5,6,,,,,44,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,7,7,,,,,7,
,FINC,,,6,4,,10,,2,2,,,,,12,
,INFO,,,4,11,,15,,,,,,,,15,
,MGMT,,,2,8,,10,,2,2,1,1,,,13,
,MISY,,,,,,,,1,1,,,,,1,
,MKTG,,,3,6,,9,,1,1,,,,,10,
,MLER,,,,,,,,,,,,,,,
,USBU,,,1,5,,6,,,,,,,,6,
,Subtotal,15,20,27,48,,110,1,21,22,1,1,,,133,
