Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,,,
Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,SPSA,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,,,,,,,,,,,,,
,WFSC,,,,,,,,1,1,,,,,1,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,3,1,10,17,,31,,1,1,1,1,,,33,
"Architecture
Business Admin",ARCH,,,,,,,,1,1,1,1,,,2,
,COMG,,,,,,,,,,,,,,,
,COSC,,,,3,,3,,,,,,,,3,
,COSL,,1,,,,1,,,,,,,,1,
,ENDL,,,,,,,,,,,,,,,
,ENDS,,,,,,,,,,,,,,,
,LAND,,,,,,,,,,,,,,,
,LANL,,,,,,,,,,,,,,,
,LDEV,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,URPL,,,,,,,,,,,,,,,
,URSC,,,,,,,,,,,,,,,
,USAR,,,,,,,,,,,,,,,
,VISL,,,,,,,,,,,,,,,
,VIST,,,,1,,1,,,,,,,,1,
,Subtotal,,1,,4,,5,,1,1,1,1,,,7,
,ACCT,,,,,,,,,,,,,,,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,,1,,1,,,,,,,,1,
,BUAD,,,,,,,,,,,,,,,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,,,,,,,,
,FINC,,,1,,,1,,1,1,,,,,2,
,INFO,,,,1,,1,,,,,,,,1,
,MGMT,,,1,,,1,,,,,,,,1,
,MISY,,,,,,,,,,,,,,,
,MKTG,,,,,,,,,,,,,,,
,MLER,,,,,,,,,,,,,,,
,USBU,,,,,,,,,,,,,,,
,Subtotal,,,2,2,,4,,1,1,,,,,5,
