Spring 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,"6,265",100.0%,263,100.0%,534,100.0%,,,"7,062",100.0%,
,,"3,742",59.7%,139,52.9%,262,49.1%,,,"4,143",58.7%,
,,"2,523",40.3%,124,47.1%,272,50.9%,,,"2,919",41.3%,
"Ethnicity
TAMU Age
Categories
Enrollment Status
Tuition Status
Residency Status
SCH
Categories
Ft/Pt: TAMU
Status
Top 10% Texas High School
First Generation",White Only (NEW),"4,330",69.1%,133,50.6%,266,49.8%,,,"4,729",67.0%,
,American Indian Only (NEW),26,.4%,,,2,.4%,,,28,.4%,
,Asian Only (NEW),223,3.6%,5,1.9%,14,2.6%,,,242,3.4%,
,Black Only + 2 or more/1 Black (NEW),271,4.3%,11,4.2%,32,6.0%,,,314,4.4%,
,Hispanic or Latino of any Race (NEW),"1,227",19.6%,19,7.2%,92,17.2%,,,"1,338",18.9%,
,Native Hawaii Only (New),7,.1%,,,,,,,7,.1%,
,2 or More/Excluding Black (NEW),120,1.9%,5,1.9%,5,.9%,,,130,1.8%,
,International,41,.7%,86,32.7%,118,22.1%,,,245,3.5%,
,Unknown or Not Reported,20,.3%,4,1.5%,5,.9%,,,29,.4%,
,<18,,,,,,,,,,,
,18-21,"3,282",52.4%,,,,,,,"3,282",46.5%,
,22-25,"2,796",44.6%,132,50.2%,33,6.2%,,,"2,961",41.9%,
,26-30,119,1.9%,88,33.5%,229,42.9%,,,436,6.2%,
,31-39,42,.7%,35,13.3%,202,37.8%,,,279,4.0%,
,40+,26,.4%,8,3.0%,70,13.1%,,,104,1.5%,
,1st Time in College,10,.2%,,,,,,,10,.1%,
,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,4,1.5%,16,3.0%,,,20,.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,155,2.5%,,,,,,,155,2.2%,
,Readmitted,46,.7%,1,.4%,,,,,47,.7%,
,Continuing,"6,054",96.6%,258,98.1%,518,97.0%,,,"6,830",96.7%,
,Resident Tuition,"5,822",92.9%,79,30.0%,210,39.3%,,,"6,111",86.5%,
,Non-Resident Tuition,98,1.6%,85,32.3%,67,12.5%,,,250,3.5%,
,Tuition Exemption/Waiver,345,5.5%,99,37.6%,257,48.1%,,,701,9.9%,
,Texas Resident,"6,046",96.5%,86,32.7%,224,41.9%,,,"6,356",90.0%,
,"Non-TX, US Resident",180,2.9%,90,34.2%,191,35.8%,,,461,6.5%,
,"Non-TX, Non-US Resident",39,.6%,87,33.1%,119,22.3%,,,245,3.5%,
,< 6 SCH,92,1.5%,33,12.5%,117,21.9%,,,242,3.4%,
,6-8 SCH,228,3.6%,11,4.2%,20,3.7%,,,259,3.7%,
,9-11 SCH,364,5.8%,197,74.9%,392,73.4%,,,953,13.5%,
,12-14 SCH,"2,868",45.8%,21,8.0%,4,.7%,,,"2,893",41.0%,
,15-17 SCH,"2,466",39.4%,1,.4%,1,.2%,,,"2,468",34.9%,
,>17 SCH,247,3.9%,,,,,,,247,3.5%,
,Less Than Half Time,88,1.4%,31,11.8%,100,18.7%,,,219,3.1%,
,Half-Time,591,9.4%,13,4.9%,38,7.1%,,,642,9.1%,
,Full-Time,"5,586",89.2%,219,83.3%,396,74.2%,,,"6,201",87.8%,
,No,"4,139",66.1%,257,97.7%,523,97.9%,,,"4,919",69.7%,
,Yes,"2,126",33.9%,6,2.3%,11,2.1%,,,"2,143",30.3%,
,No,"4,318",68.9%,129,49.0%,311,58.2%,,,"4,758",67.4%,
,Unknown,170,2.7%,79,30.0%,80,15.0%,,,329,4.7%,
,Yes,"1,777",28.4%,55,20.9%,143,26.8%,,,"1,975",28.0%,
"Prepared by DARS, 6/19/2012",,,,,,,,,,,,
