Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Liberal Arts,"USLA WGST
Subtotal",,,,2,,2,,,,,,,,2,
,,,,1,3,,4,,,,,,,,4,
,,23,57,81,110,,271,,11,11,32,32,,,314,
"Science
Veterinary Medicine
General Studies
Other - Special Populations
University",APHY,,,,,,,,,,,,,,,
,APMS,,,1,3,,4,,,,,,,,4,
,BIOL,10,12,9,11,,42,,,,1,1,,,43,
,BMCB,,,1,,,1,,,,,,,,1,
,BOTN,,,,,,,,,,,,,,,
,CHEM,4,,1,3,,8,,2,2,4,4,,,14,
,GENE,,,,,,,,,,,,,,,
,MATH,4,1,1,1,,7,1,,1,1,1,,,9,
,MBIO,,2,2,,,4,,,,,,,,4,
,MSEN,,,,,,,,,,,,,,,
,PHYS,,,,,,,,1,1,2,2,,,3,
,STAT,,,,,,,,2,2,,,,,2,
,USSC,,,,1,,1,,,,,,,,1,
,ZOOL,,,1,2,,3,,,,,,,,3,
,Subtotal,18,15,16,21,,70,1,5,6,8,8,,,84,
,BIMS,13,15,9,9,,46,,2,2,,,,,48,
,BIOT,,,,,,,,,,,,,,,
,EPID,,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,2,2,,,,,2,
,USVM,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,5,5,5,
,VTMI,,,,,,,,,,2,2,,,2,
,Subtotal,13,15,9,9,,46,,4,4,2,2,5,5,57,
,GEST,84,71,8,,,163,,,,,,,,163,
,TEAM,8,5,,,,13,,,,,,,,13,
,Subtotal,92,76,8,,,176,,,,,,,,176,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,,,,,,,,,
,PHLT,,,,,,,3,,3,,,,,3,
,REEP,,,,,,,,,,,,,,,
,Subtotal,,,,,,,3,,3,,,,,3,
,Total,232,263,297,421,4,"1,217",26,140,166,205,205,5,5,"1,593",
"Prepared by DARS, 20 Jun 12",,,,,,,,,,,,,,,,
