Spring 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,,,343,100.0%,,,,,343,100.0%,
,,,,164,47.8%,,,,,164,47.8%,
,,,,179,52.2%,,,,,179,52.2%,
"Ethnicity
TAMU Age
Categories
Enrollment Status
Tuition Status
Residency Status
SCH
Categories
Ft/Pt: TAMU
Status
Top 10% Texas High School
First Generation",White Only (NEW),,,231,67.3%,,,,,231,67.3%,
,American Indian Only (NEW),,,4,1.2%,,,,,4,1.2%,
,Asian Only (NEW),,,15,4.4%,,,,,15,4.4%,
,Black Only + 2 or more/1 Black (NEW),,,22,6.4%,,,,,22,6.4%,
,Hispanic or Latino of any Race (NEW),,,36,10.5%,,,,,36,10.5%,
,Native Hawaii Only (New),,,2,.6%,,,,,2,.6%,
,2 or More/Excluding Black (NEW),,,6,1.7%,,,,,6,1.7%,
,International,,,25,7.3%,,,,,25,7.3%,
,Unknown or Not Reported,,,2,.6%,,,,,2,.6%,
,<18,,,,,,,,,,,
,18-21,,,,,,,,,,,
,22-25,,,162,47.2%,,,,,162,47.2%,
,26-30,,,98,28.6%,,,,,98,28.6%,
,31-39,,,50,14.6%,,,,,50,14.6%,
,40+,,,33,9.6%,,,,,33,9.6%,
,1st Time in College,,,,,,,,,,,
,1st Time PB,,,52,15.2%,,,,,52,15.2%,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,291,84.8%,,,,,291,84.8%,
,Resident Tuition,,,211,61.5%,,,,,211,61.5%,
,Non-Resident Tuition,,,8,2.3%,,,,,8,2.3%,
,Tuition Exemption/Waiver,,,124,36.2%,,,,,124,36.2%,
,Texas Resident,,,242,70.6%,,,,,242,70.6%,
,"Non-TX, US Resident",,,75,21.9%,,,,,75,21.9%,
,"Non-TX, Non-US Resident",,,26,7.6%,,,,,26,7.6%,
,< 6 SCH,,,49,14.3%,,,,,49,14.3%,
,6-8 SCH,,,67,19.5%,,,,,67,19.5%,
,9-11 SCH,,,32,9.3%,,,,,32,9.3%,
,12-14 SCH,,,189,55.1%,,,,,189,55.1%,
,15-17 SCH,,,6,1.7%,,,,,6,1.7%,
,>17 SCH,,,,,,,,,,,
,Less Than Half Time,,,49,14.3%,,,,,49,14.3%,
,Half-Time,,,67,19.5%,,,,,67,19.5%,
,Full-Time,,,227,66.2%,,,,,227,66.2%,
,No,,,339,98.8%,,,,,339,98.8%,
,Yes,,,4,1.2%,,,,,4,1.2%,
,No,,,225,65.6%,,,,,225,65.6%,
,Unknown,,,31,9.0%,,,,,31,9.0%,
,Yes,,,87,25.4%,,,,,87,25.4%,
"Prepared by DARS, 6/19/2012",,,,,,,,,,,,
