Spring 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,2,3,5,,,,,1,1,,1,1,,2,2,,1,1,2,8,10,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,2,3,5,,,,,1,1,,1,1,,2,2,,1,1,2,8,10,
,22-25,,,,,,,,,,,,,,,,,,,,,,
,26-30,,,,,,,,,,,,,,,,,,,,,,
,Freshman,2,3,5,,,,,1,1,,1,1,,2,2,,1,1,2,8,10,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,
,Junior,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,2,2,4,,,,,1,1,,1,1,,2,2,,1,1,2,7,9,
,Non-Resident  Tuition,,,,,,,,,,,,,,,,,,,,,,
,Tuition,,1,1,,,,,,,,,,,,,,,,,1,1,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,2,2,4,,,,,1,1,,1,1,,2,2,,1,1,2,7,9,
,"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,1,1,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,1,1,2,,,,,1,1,,1,1,,1,1,,,,1,4,5,
,15-17 SCH,1,2,3,,,,,,,,,,,1,1,,1,1,1,4,5,
,Half-Time,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,2,3,5,,,,,1,1,,1,1,,2,2,,1,1,2,8,10,
,No,1,3,4,,,,,,,,1,1,,2,2,,1,1,1,7,8,
,Yes,1,,1,,,,,1,1,,,,,,,,,,1,1,2,
,No,1,2,3,,,,,,,,,,,2,2,,,,1,4,5,
,Unknown,,1,1,,,,,,,,,,,,,,1,1,,2,2,
,Yes,1,,1,,,,,1,1,,1,1,,,,,,,1,2,3,
,1.00,1,,1,,,,,,,,1,1,,,,,,,1,1,2,
,2.00,1,3,4,,,,,1,1,,,,,2,2,,1,1,1,7,8,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,
