Spring 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,"3,777",100.0%,609,100.0%,650,100.0%,,,"5,036",100.0%,
,,"2,895",76.6%,439,72.1%,426,65.5%,,,"3,760",74.7%,
,,882,23.4%,170,27.9%,224,34.5%,,,"1,276",25.3%,
"Ethnicity
TAMU Age
Categories
Enrollment Status
Tuition Status
Residency Status
SCH
Categories
Ft/Pt: TAMU
Status
Top 10% Texas High School
First Generation",White Only (NEW),"2,929",77.5%,378,62.1%,287,44.2%,,,"3,594",71.4%,
,American Indian Only (NEW),9,.2%,1,.2%,3,.5%,,,13,.3%,
,Asian Only (NEW),73,1.9%,15,2.5%,20,3.1%,,,108,2.1%,
,Black Only + 2 or more/1 Black (NEW),121,3.2%,49,8.0%,108,16.6%,,,278,5.5%,
,Hispanic or Latino of any Race (NEW),568,15.0%,86,14.1%,125,19.2%,,,779,15.5%,
,Native Hawaii Only (New),1,.0%,,,,,,,1,.0%,
,2 or More/Excluding Black (NEW),64,1.7%,11,1.8%,6,.9%,,,81,1.6%,
,International,11,.3%,66,10.8%,97,14.9%,,,174,3.5%,
,Unknown or Not Reported,1,.0%,3,.5%,4,.6%,,,8,.2%,
,<18,,,,,,,,,,,
,18-21,"1,955",51.8%,3,.5%,,,,,"1,958",38.9%,
,22-25,"1,738",46.0%,288,47.3%,17,2.6%,,,"2,043",40.6%,
,26-30,44,1.2%,153,25.1%,145,22.3%,,,342,6.8%,
,31-39,26,.7%,96,15.8%,226,34.8%,,,348,6.9%,
,40+,14,.4%,69,11.3%,262,40.3%,,,345,6.9%,
,1st Time in College,6,.2%,,,,,,,6,.1%,
,1st Time PB,,,4,.7%,,,,,4,.1%,
,1st Time Graduate,,,84,13.8%,41,6.3%,,,125,2.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,78,2.1%,,,,,,,78,1.5%,
,Readmitted,26,.7%,8,1.3%,6,.9%,,,40,.8%,
,Continuing,"3,667",97.1%,513,84.2%,603,92.8%,,,"4,783",95.0%,
,Resident Tuition,"3,599",95.3%,480,78.8%,485,74.6%,,,"4,564",90.6%,
,Non-Resident Tuition,47,1.2%,68,11.2%,37,5.7%,,,152,3.0%,
,Tuition Exemption/Waiver,131,3.5%,61,10.0%,128,19.7%,,,320,6.4%,
,Texas Resident,"3,709",98.2%,495,81.3%,506,77.8%,,,"4,710",93.5%,
,"Non-TX, US Resident",57,1.5%,48,7.9%,47,7.2%,,,152,3.0%,
,"Non-TX, Non-US Resident",11,.3%,66,10.8%,97,14.9%,,,174,3.5%,
,< 6 SCH,27,.7%,88,14.4%,278,42.8%,,,393,7.8%,
,6-8 SCH,314,8.3%,219,36.0%,99,15.2%,,,632,12.5%,
,9-11 SCH,172,4.6%,199,32.7%,241,37.1%,,,612,12.2%,
,12-14 SCH,"1,779",47.1%,93,15.3%,28,4.3%,,,"1,900",37.7%,
,15-17 SCH,"1,313",34.8%,9,1.5%,4,.6%,,,"1,326",26.3%,
,>17 SCH,172,4.6%,1,.2%,,,,,173,3.4%,
,Less Than Half Time,27,.7%,78,12.8%,202,31.1%,,,307,6.1%,
,Half-Time,486,12.9%,233,38.3%,175,26.9%,,,894,17.8%,
,Full-Time,"3,264",86.4%,298,48.9%,273,42.0%,,,"3,835",76.2%,
,No,"2,229",59.0%,597,98.0%,606,93.2%,,,"3,432",68.1%,
,Yes,"1,548",41.0%,12,2.0%,44,6.8%,,,"1,604",31.9%,
,No,"2,703",71.6%,350,57.5%,282,43.4%,,,"3,335",66.2%,
,Unknown,70,1.9%,50,8.2%,148,22.8%,,,268,5.3%,
,Yes,"1,004",26.6%,209,34.3%,220,33.8%,,,"1,433",28.5%,
"Prepared by DARS, 6/19/2012",,,,,,,,,,,,
