Spring 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,"1,518",100.0%,77,100.0%,79,100.0%,520,100.0%,"2,194",100.0%,
,,"1,070",70.5%,52,67.5%,46,58.2%,397,76.3%,"1,565",71.3%,
,,448,29.5%,25,32.5%,33,41.8%,123,23.7%,629,28.7%,
"Ethnicity
TAMU Age
Categories
Enrollment Status
Tuition Status
Residency Status
SCH
Categories
Ft/Pt: TAMU
Status
Top 10% Texas High School
First Generation",White Only (NEW),968,63.8%,45,58.4%,39,49.4%,442,85.0%,"1,494",68.1%,
,American Indian Only (NEW),4,.3%,1,1.3%,,,1,.2%,6,.3%,
,Asian Only (NEW),151,9.9%,7,9.1%,2,2.5%,16,3.1%,176,8.0%,
,Black Only + 2 or more/1 Black (NEW),46,3.0%,4,5.2%,2,2.5%,5,1.0%,57,2.6%,
,Hispanic or Latino of any Race (NEW),304,20.0%,7,9.1%,2,2.5%,47,9.0%,360,16.4%,
,Native Hawaii Only (New),2,.1%,,,,,,,2,.1%,
,2 or More/Excluding Black (NEW),38,2.5%,1,1.3%,,,2,.4%,41,1.9%,
,International,3,.2%,12,15.6%,34,43.0%,,,49,2.2%,
,Unknown or Not Reported,2,.1%,,,,,7,1.3%,9,.4%,
,<18,1,.1%,,,,,,,1,.0%,
,18-21,"1,195",78.7%,,,,,1,.2%,"1,196",54.5%,
,22-25,316,20.8%,46,59.7%,5,6.3%,255,49.0%,622,28.4%,
,26-30,3,.2%,20,26.0%,33,41.8%,226,43.5%,282,12.9%,
,31-39,2,.1%,10,13.0%,34,43.0%,33,6.3%,79,3.6%,
,40+,1,.1%,1,1.3%,7,8.9%,5,1.0%,14,.6%,
,1st Time in College,7,.5%,,,,,,,7,.3%,
,1st Time PB,,,1,1.3%,,,,,1,.0%,
,1st Time Graduate,,,2,2.6%,1,1.3%,,,3,.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,1,.1%,,,,,,,1,.0%,
,Readmitted,1,.1%,,,,,,,1,.0%,
,Continuing,"1,509",99.4%,74,96.1%,78,98.7%,520,100.0%,"2,181",99.4%,
,Resident Tuition,"1,421",93.6%,51,66.2%,27,34.2%,483,92.9%,"1,982",90.3%,
,Non-Resident Tuition,15,1.0%,3,3.9%,4,5.1%,6,1.2%,28,1.3%,
,Tuition Exemption/Waiver,82,5.4%,23,29.9%,48,60.8%,31,6.0%,184,8.4%,
,Texas Resident,"1,487",98.0%,54,70.1%,29,36.7%,491,94.4%,"2,061",93.9%,
,"Non-TX, US Resident",28,1.8%,11,14.3%,16,20.3%,29,5.6%,84,3.8%,
,"Non-TX, Non-US Resident",3,.2%,12,15.6%,34,43.0%,,,49,2.2%,
,< 6 SCH,10,.7%,15,19.5%,14,17.7%,,,39,1.8%,
,6-8 SCH,38,2.5%,4,5.2%,5,6.3%,1,.2%,48,2.2%,
,9-11 SCH,53,3.5%,41,53.2%,53,67.1%,,,147,6.7%,
,12-14 SCH,876,57.7%,15,19.5%,6,7.6%,,,897,40.9%,
,15-17 SCH,521,34.3%,2,2.6%,1,1.3%,2,.4%,526,24.0%,
,>17 SCH,20,1.3%,,,,,517,99.4%,537,24.5%,
,Less Than Half Time,10,.7%,10,13.0%,9,11.4%,,,29,1.3%,
,Half-Time,91,6.0%,9,11.7%,10,12.7%,1,.2%,111,5.1%,
,Full-Time,"1,417",93.3%,58,75.3%,60,75.9%,519,99.8%,"2,054",93.6%,
,No,517,34.1%,76,98.7%,73,92.4%,468,90.0%,"1,134",51.7%,
,Yes,"1,001",65.9%,1,1.3%,6,7.6%,52,10.0%,"1,060",48.3%,
,No,"1,090",71.8%,47,61.0%,51,64.6%,81,15.6%,"1,269",57.8%,
,Unknown,22,1.4%,11,14.3%,11,13.9%,413,79.4%,457,20.8%,
,Yes,406,26.7%,19,24.7%,17,21.5%,26,5.0%,468,21.3%,
"Prepared by DARS, 6/19/2012",,,,,,,,,,,,
