Demographic Summary by Texas Top 10% Status First-Time In College Students (College Station Campus),,,,,,,,
"Prepared by DARS, 17 Feb 12",,,,,,,,
Spring 2012,,Top 10% Texas High School,,,,Grand Total,,
,,Yes,,No,,#,%,
,,#,%,#,%,,,
Headcount Total,,32,31.1%,71,68.9%,103,100.0%,
"Gender Ethnicity
TAMU Age
Categories
College
Enrollment Status
Tuition Status
Residency Status
SCH
Categories
Ft/Pt: TAMU
Status
First Generation",Female,18,50.0%,18,50.0%,36,100.0%,
,Male,14,20.9%,53,79.1%,67,100.0%,
,White Only (NEW),17,27.0%,46,73.0%,63,100.0%,
,Asian Only (NEW),3,75.0%,1,25.0%,4,100.0%,
,Black Only + 2 or more/1 Black (NEW),1,25.0%,3,75.0%,4,100.0%,
,Hispanic or Latino of any Race (NEW),10,58.8%,7,41.2%,17,100.0%,
,2 or More/Excluding Black (NEW),1,25.0%,3,75.0%,4,100.0%,
,International,,,11,100.0%,11,100.0%,
,<18,,,1,100.0%,1,100.0%,
,18-21,31,32.3%,65,67.7%,96,100.0%,
,22-25,1,20.0%,4,80.0%,5,100.0%,
,26-30,,,1,100.0%,1,100.0%,
,Agriculture,3,30.0%,7,70.0%,10,100.0%,
,Architecture,1,33.3%,2,66.7%,3,100.0%,
,Business Admin,1,12.5%,7,87.5%,8,100.0%,
,Education,3,50.0%,3,50.0%,6,100.0%,
,Engineering,13,38.2%,21,61.8%,34,100.0%,
,Liberal Arts,2,20.0%,8,80.0%,10,100.0%,
,Science,6,42.9%,8,57.1%,14,100.0%,
,Veterinary Medicine,1,14.3%,6,85.7%,7,100.0%,
,General Studies,2,18.2%,9,81.8%,11,100.0%,
,1st Time in College,32,31.1%,71,68.9%,103,100.0%,
,Resident Tuition,29,35.4%,53,64.6%,82,100.0%,
,Non-Resident Tuition,,,13,100.0%,13,100.0%,
,Tuition Exemption/Waiver,3,37.5%,5,62.5%,8,100.0%,
,Texas Resident,32,36.4%,56,63.6%,88,100.0%,
,"Non-TX, US Resident",,,5,100.0%,5,100.0%,
,"Non-TX, Non-US Resident",,,10,100.0%,10,100.0%,
,6-8 SCH,,,1,100.0%,1,100.0%,
,9-11 SCH,,,1,100.0%,1,100.0%,
,12-14 SCH,23,32.4%,48,67.6%,71,100.0%,
,15-17 SCH,9,30.0%,21,70.0%,30,100.0%,
,Half-Time,,,2,100.0%,2,100.0%,
,Full-Time,32,31.7%,69,68.3%,101,100.0%,
,No,22,21.4%,39,37.9%,61,59.2%,
,Unknown,,,13,12.6%,13,12.6%,
,Yes,10,9.7%,19,18.4%,29,28.2%,
