Spring 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Tota,,l,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,11,4,15,,,,,,,,,4,2,6,1,1,,,,,,,,,,16,6,22,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,10,4,14,,,,,,,,,4,1,5,1,1,,,,,,,,,,15,5,20,
,22-25,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,26-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31-39,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,11,4,15,,,,,,,,,4,1,5,1,1,,,,,,,,,,16,5,21,
,Junior,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,10,3,13,,,,,,,,,4,2,6,1,1,,,,,,,,,,15,5,20,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuition,1,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,11,4,15,,,,,,,,,4,2,6,1,1,,,,,,,,,,16,6,22,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,1,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,12-14 SCH,5,4,9,,,,,,,,,3,1,4,1,1,,,,,,,,,,9,5,14,
,15-17 SCH,5,,5,,,,,,,,,,1,1,,,,,,,,,,,,5,1,6,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less Than Half Time,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,1,
,Half-Time,1,,1,,,,,,,,,,1,1,,,,,,,,,,,,1,1,2,
,Full-Time,10,4,14,,,,,,,,,3,1,4,1,1,,,,,,,,,,14,5,19,
,No,10,4,14,,,,,,,,,4,2,6,1,1,,,,,,,,,,15,6,21,
,Yes,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,No,7,4,11,,,,,,,,,1,1,2,1,1,,,,,,,,,,9,5,14,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,4,,4,,,,,,,,,3,1,4,,,,,,,,,,,,7,1,8,
,1.00,10,4,14,,,,,,,,,3,1,4,1,1,,,,,,,,,,14,5,19,
,2.00,1,,1,,,,,,,,,1,1,2,,,,,,,,,,,,2,1,3,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
