Spring 2012,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Liberal Arts,AMST,1,,,,,,1,,,,,,,,,,,,2,,2,
,ANTH,131,84,,,4,4,8,3,40,17,,,9,1,5,9,,,197,118,315,
,CLSS,11,5,,,,,,,2,1,,,,,,,,,13,6,19,
,COMM,487,121,1,,12,3,18,12,76,28,,,18,3,7,3,2,,621,170,791,
,ECON,74,307,,1,8,34,6,13,16,67,1,1,1,9,56,74,,3,162,509,671,
,ENGL,389,119,4,2,13,4,20,3,95,31,,,9,5,13,9,1,,544,173,717,
,FREN,11,2,,,,,1,1,2,1,,,,,,,1,,15,4,19,
,GERM,3,3,,,,,,,,,,,,,,1,,,3,4,7,
,HISP,7,4,,,,,,,12,7,,,,,1,8,,,20,19,39,
,HIST,200,366,2,,3,3,8,10,50,56,,,8,6,3,3,2,3,276,447,723,
,INTS,231,164,1,1,6,10,14,10,106,55,1,2,8,8,4,1,,1,371,252,623,
,MODL,1,,,,,,,,2,,,,,,,,,,3,,3,
,MUSC,5,10,,,2,,,2,2,5,,,,,,,,,9,17,26,
,NRSC,1,6,,,1,,,1,1,1,,,,,2,2,,,5,10,15,
,NUTR,1,,,,,,,,,,,,,,,,,,1,,1,
,PERF,4,3,,,,,1,,,1,,,,,1,,,,6,4,10,
,PHIL,17,56,,2,3,3,1,1,4,11,,,,2,,,,3,25,78,103,
,POLS,167,322,1,3,11,18,16,17,58,78,,,6,9,8,4,1,4,268,455,723,
,PSYC,683,224,2,2,45,31,51,17,219,72,1,,17,2,9,9,4,1,"1,031",358,"1,389",
,RUSS,4,8,,,,,,1,2,2,,,,,,,,,6,11,17,
,SOCI,194,105,4,1,15,4,39,23,87,45,1,,2,2,8,4,1,1,351,185,536,
,SPAN,29,6,,,,,,,25,17,,,,,,,,,54,23,77,
,TCMS,77,43,1,,3,2,8,1,15,12,,,3,1,,1,,1,107,61,168,
,TECR,,1,,,,,,,,,,,,,,,,,,1,1,
,THAR,24,8,,,,,,1,6,2,,,1,,,,,,31,11,42,
,USLA,3,3,,,,,2,,2,,,,,,,,,,7,3,10,
,WGST,4,,,,,,4,,7,,,,,,,,,,15,,15,
,Subtotal,"2,759","1,970",16,12,126,116,198,116,829,509,4,3,82,48,117,128,12,17,"4,143","2,919","7,062",
Science,APHY,,4,1,,,,,,1,2,,,1,,,1,,,3,7,10,
,APMS,38,66,,,7,7,,4,5,17,,,2,3,,4,1,1,53,102,155,
,BIOL,379,292,3,4,77,86,26,17,153,109,2,,18,12,26,11,,,684,531,"1,215",
,BMCB,22,27,,,5,8,1,,6,18,,,2,2,,2,,1,36,58,94,
,BOTN,1,,,,,,,,,1,,,,,,,,,1,1,2,
,CHEM,116,138,,2,14,27,6,8,35,44,,,5,2,51,90,3,1,230,312,542,
,GENE,1,1,,,,,,,,,,,,,,,,,1,1,2,
,MATH,99,109,,,7,5,7,2,21,40,1,,9,5,28,56,,1,172,218,390,
,MBIO,27,24,,,,9,3,1,9,11,,,3,1,7,1,,,49,47,96,
,MSEN,,,,,,,,,,,,,,,,2,,,,2,2,
,PHYS,25,131,,,1,7,,3,6,29,,,1,6,8,76,,1,41,253,294,
,STAT,28,52,,,8,6,,2,3,7,,,1,3,28,22,1,2,69,94,163,
,USSC,6,8,,,,1,1,,1,1,,,,,,,,,8,10,18,
,ZOOL,45,22,,,,,3,,11,2,,,,2,1,,,,60,26,86,
,Subtotal,787,874,4,6,119,156,47,37,251,281,3,,42,36,149,265,5,7,"1,407","1,662","3,069",
"Veterinary  Medicine
General Studies
Other - Special Populations",BIMS,725,285,4,1,92,67,37,11,222,88,1,1,23,16,17,16,,2,"1,121",487,"1,608",
,BIOT,,,,,,,,,,,,,,,1,,,,1,,1,
,EPID,,,,,,1,,,,,,,,,,,,,,1,1,
,GENE,4,3,,,,,,,,,,,,,,,,,4,3,7,
,LAMD,2,,,,,,,,,,,,,,,,,,2,,2,
,NUTR,1,,,,,,,,,,,,,,,,,,1,,1,
,STJR,3,,,,,,,,,,,,,,3,,,,6,,6,
,TOXI,7,1,,,,,2,,,,,,,,2,4,,,11,5,16,
,USVM,,1,,,,,,,,,,,,,,,,,,1,1,
,VPAT,11,2,,,,,,,,2,,,,,,2,,,11,6,17,
,VPHY,1,,,,,,,,,,,,,,,,,,1,,1,
,VTMD,340,102,1,,15,1,3,2,31,16,,,2,,,,5,2,397,123,520,
,VTMI,5,1,,,,,2,,1,,,,,,2,2,,,10,3,13,
,Subtotal,"1,099",395,5,1,107,69,44,13,254,106,1,1,25,16,25,24,5,4,"1,565",629,"2,194",
,GEST,948,"1,109",,7,70,118,77,86,307,347,2,3,35,30,8,28,2,5,"1,449","1,733","3,182",
,TEAM,293,334,,1,6,6,5,8,61,61,1,1,9,13,,,1,,376,424,800,
,Subtotal,"1,241","1,443",,8,76,124,82,94,368,408,3,4,44,43,8,28,3,5,"1,825","2,157","3,982",
,MARM,2,,,,,,,,,,,,,,,,,,2,,2,
,MDSC,3,,,,,,,,1,,,,1,,,1,1,,6,1,7,
,PHLT,8,5,,,,2,3,,1,,,,,,6,1,4,1,22,9,31,
,REEP,,1,,,,,,,,,,,,,37,32,1,,38,33,71,
,Subtotal,13,6,,,,2,3,,2,,,,1,,43,34,6,1,68,43,111,
Total,,"14,654","16,063",65,79,886,"1,226",825,768,"3,499","3,568",20,25,402,408,"1,329","2,642",60,99,"21,740","24,878","46,618",
"Prepared by DARS, 20 Jun 12",,,,,,,,,,,,,,,,,,,,,,,
