Spring 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,2,3,5,,,,,,,1,,1,1,,1,,,,4,3,7,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,2,2,4,,,,,,,1,,1,1,,1,,,,4,2,6,
,22-25,,1,1,,,,,,,,,,,,,,,,,1,1,
,26-30,,,,,,,,,,,,,,,,,,,,,,
,Freshman,2,2,4,,,,,,,1,,1,1,,1,,,,4,2,6,
,Sophomore,,1,1,,,,,,,,,,,,,,,,,1,1,
,Junior,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,2,2,4,,,,,,,1,,1,1,,1,,,,4,2,6,
,Non-Resident  Tuition,,,,,,,,,,,,,,,,,,,,,,
,Tuition,,1,1,,,,,,,,,,,,,,,,,1,1,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,2,3,5,,,,,,,1,,1,1,,1,,,,4,3,7,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,2,1,3,,,,,,,1,,1,1,,1,,,,4,1,5,
,15-17 SCH,,2,2,,,,,,,,,,,,,,,,,2,2,
,Half-Time,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,2,3,5,,,,,,,1,,1,1,,1,,,,4,3,7,
,No,1,3,4,,,,,,,1,,1,1,,1,,,,3,3,6,
,Yes,1,,1,,,,,,,,,,,,,,,,1,,1,
,No,2,2,4,,,,,,,,,,1,,1,,,,3,2,5,
,Unknown,,,,,,,,,,,,,,,,,,,,,,
,Yes,,1,1,,,,,,,1,,1,,,,,,,1,1,2,
,1.00,2,1,3,,,,,,,1,,1,1,,1,,,,4,1,5,
,2.00,,2,2,,,,,,,,,,,,,,,,,2,2,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,
