Demographic  Summary,,,,,,
First Generation FTIC Students (College Station Campus),,,,,,
"Prepared by DARS, 20 Jun 12",,,,,,
Spring 2012,,First Generation Undergraduates,,,Grand Total,
,,Unknown,Yes,No,,
Headcount Total,,13,29,61,103,
"Gender Ethnicity
TAMU Age
Categories
College
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School",Female,1,13,22,36,
,Male,12,16,39,67,
,White Only (NEW),2,16,45,63,
,Asian Only (NEW),,1,3,4,
,Black Only + 2 or more/1 Black (NEW),,3,1,4,
,Hispanic or Latino of any Race (NEW),,8,9,17,
,2 or More/Excluding Black (NEW),,1,3,4,
,International,11,,,11,
,<18,,,1,1,
,18-21,13,27,56,96,
,22-25,,2,3,5,
,26-30,,,1,1,
,Agriculture,,3,7,10,
,Architecture,,1,2,3,
,Business Admin,2,3,3,8,
,Education,,1,5,6,
,Engineering,7,6,21,34,
,Liberal Arts,2,3,5,10,
,Science,,6,8,14,
,Veterinary  Medicine,,2,5,7,
,General Studies,2,4,5,11,
,1st Time in College,13,29,61,103,
,Resident Tuition,2,25,55,82,
,Non-Resident  Tuition,10,2,1,13,
,Tuition  Exemption/Waiver,1,2,5,8,
,Texas Resident,2,27,59,88,
,"Non-TX, US Resident",1,2,2,5,
,"Non-TX, Non-US Resident",10,,,10,
,6-8 SCH,,,1,1,
,9-11 SCH,,,1,1,
,12-14 SCH,9,19,43,71,
,15-17 SCH,4,10,16,30,
,Half-Time,,,2,2,
,Full-Time,13,29,59,101,
,No,13,19,39,71,
,Yes,,10,22,32,
