Spring 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,3,2,5,,,,,,,1,,1,,,,,,,4,2,6,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,3,2,5,,,,,,,1,,1,,,,,,,4,2,6,
,22-25,,,,,,,,,,,,,,,,,,,,,,
,26-30,,,,,,,,,,,,,,,,,,,,,,
,Freshman,3,2,5,,,,,,,1,,1,,,,,,,4,2,6,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,
,Junior,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,3,2,5,,,,,,,1,,1,,,,,,,4,2,6,
,Non-Resident  Tuition,,,,,,,,,,,,,,,,,,,,,,
,Tuition,,,,,,,,,,,,,,,,,,,,,,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,3,2,5,,,,,,,1,,1,,,,,,,4,2,6,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,2,2,4,,,,,,,1,,1,,,,,,,3,2,5,
,15-17 SCH,1,,1,,,,,,,,,,,,,,,,1,,1,
,Half-Time,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,3,2,5,,,,,,,1,,1,,,,,,,4,2,6,
,No,1,2,3,,,,,,,,,,,,,,,,1,2,3,
,Yes,2,,2,,,,,,,1,,1,,,,,,,3,,3,
,No,3,1,4,,,,,,,1,,1,,,,,,,4,1,5,
,Unknown,,,,,,,,,,,,,,,,,,,,,,
,Yes,,1,1,,,,,,,,,,,,,,,,,1,1,
,1.00,1,1,2,,,,,,,,,,,,,,,,1,1,2,
,2.00,2,1,3,,,,,,,1,,1,,,,,,,3,1,4,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,
