Spring 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,"2,201",100.0%,312,100.0%,556,100.0%,,,"3,069",100.0%,
,,"1,102",50.1%,112,35.9%,193,34.7%,,,"1,407",45.8%,
,,"1,099",49.9%,200,64.1%,363,65.3%,,,"1,662",54.2%,
"Ethnicity
TAMU Age
Categories
Enrollment Status
Tuition Status
Residency Status
SCH
Categories
Ft/Pt: TAMU
Status
Top 10% Texas High School
First Generation",White Only (NEW),"1,302",59.2%,164,52.6%,195,35.1%,,,"1,661",54.1%,
,American Indian Only (NEW),8,.4%,,,2,.4%,,,10,.3%,
,Asian Only (NEW),239,10.9%,23,7.4%,13,2.3%,,,275,9.0%,
,Black Only + 2 or more/1 Black (NEW),70,3.2%,6,1.9%,8,1.4%,,,84,2.7%,
,Hispanic or Latino of any Race (NEW),486,22.1%,19,6.1%,27,4.9%,,,532,17.3%,
,Native Hawaii Only (New),3,.1%,,,,,,,3,.1%,
,2 or More/Excluding Black (NEW),66,3.0%,6,1.9%,6,1.1%,,,78,2.5%,
,International,22,1.0%,89,28.5%,303,54.5%,,,414,13.5%,
,Unknown or Not Reported,5,.2%,5,1.6%,2,.4%,,,12,.4%,
,<18,2,.1%,,,,,,,2,.1%,
,18-21,"1,487",67.6%,,,,,,,"1,487",48.5%,
,22-25,688,31.3%,137,43.9%,98,17.6%,,,923,30.1%,
,26-30,15,.7%,87,27.9%,306,55.0%,,,408,13.3%,
,31-39,9,.4%,43,13.8%,141,25.4%,,,193,6.3%,
,40+,,,45,14.4%,11,2.0%,,,56,1.8%,
,1st Time in College,14,.6%,,,,,,,14,.5%,
,1st Time PB,,,15,4.8%,,,,,15,.5%,
,1st Time Graduate,,,18,5.8%,3,.5%,,,21,.7%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,28,1.3%,,,,,,,28,.9%,
,Readmitted,4,.2%,2,.6%,,,,,6,.2%,
,Continuing,"2,155",97.9%,277,88.8%,553,99.5%,,,"2,985",97.3%,
,Resident Tuition,"2,020",91.8%,156,50.0%,109,19.6%,,,"2,285",74.5%,
,Non-Resident Tuition,34,1.5%,24,7.7%,32,5.8%,,,90,2.9%,
,Tuition Exemption/Waiver,147,6.7%,132,42.3%,415,74.6%,,,694,22.6%,
,Texas Resident,"2,106",95.7%,167,53.5%,117,21.0%,,,"2,390",77.9%,
,"Non-TX, US Resident",74,3.4%,56,17.9%,134,24.1%,,,264,8.6%,
,"Non-TX, Non-US Resident",21,1.0%,89,28.5%,305,54.9%,,,415,13.5%,
,< 6 SCH,16,.7%,85,27.2%,22,4.0%,,,123,4.0%,
,6-8 SCH,61,2.8%,40,12.8%,3,.5%,,,104,3.4%,
,9-11 SCH,79,3.6%,172,55.1%,520,93.5%,,,771,25.1%,
,12-14 SCH,"1,158",52.6%,14,4.5%,11,2.0%,,,"1,183",38.5%,
,15-17 SCH,819,37.2%,1,.3%,,,,,820,26.7%,
,>17 SCH,68,3.1%,,,,,,,68,2.2%,
,Less Than Half Time,15,.7%,80,25.6%,18,3.2%,,,113,3.7%,
,Half-Time,138,6.3%,46,14.7%,7,1.3%,,,191,6.2%,
,Full-Time,"2,048",93.0%,186,59.6%,531,95.5%,,,"2,765",90.1%,
,No,972,44.2%,310,99.4%,542,97.5%,,,"1,824",59.4%,
,Yes,"1,229",55.8%,2,.6%,14,2.5%,,,"1,245",40.6%,
,No,"1,538",69.9%,142,45.5%,295,53.1%,,,"1,975",64.4%,
,Unknown,81,3.7%,104,33.3%,80,14.4%,,,265,8.6%,
,Yes,582,26.4%,66,21.2%,181,32.6%,,,829,27.0%,
"Prepared by DARS, 6/19/2012",,,,,,,,,,,,
