Spring 2012,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
Agriculture,ABME,,,,,,,,,,,,,,,1,,,,1,,1
,ADEV,5,9,,,,,,,,1,,,,,,1,,,5,11,16
,AGBL,34,60,1,,,,,,1,10,,,2,1,1,,,1,39,72,111
,AGBU,55,102,,,1,2,1,2,4,7,,,,4,17,8,,1,78,126,204
,AGCJ,187,47,3,,1,,7,1,14,8,,,3,4,3,1,,,218,61,279
,AGEC,79,239,1,,1,3,2,2,14,23,,,2,3,24,43,,,123,313,436
,AGLS,25,40,,,1,,5,4,3,10,,,2,,,,,,36,54,90
,AGRO,21,111,,1,1,2,,,6,12,,,,2,2,4,,,30,132,162
,AGSC,80,31,,1,,,,1,9,4,,,1,1,,,,,90,38,128
,AGSM,7,114,,,,,,1,,21,,,,2,,3,,,7,141,148
,ALEC,66,44,,,,1,5,7,3,4,,,1,,4,,,1,79,57,136
,ALED,140,234,2,2,,2,8,40,26,28,,,2,4,,2,,,178,312,490
,ANBR,7,1,,,,,1,,,,,,,,1,1,,,9,2,11
,ANSC,496,195,7,,8,1,4,2,84,42,,,13,4,1,4,2,,615,248,863
,BAEN,36,124,,1,4,10,4,5,10,27,,,,8,18,34,,1,72,210,282
,BESC,65,49,,1,6,9,6,4,39,21,,1,5,1,3,,,,124,86,210
,BICH,57,80,,2,23,33,12,7,16,20,,,5,1,19,37,1,2,133,182,315
,BIOT,,1,,,,,,,,,,,,,3,2,,,3,3,6
,CDEV,13,9,,,1,,1,,3,3,,,,,,,,,18,12,30
,DASC,2,,,,,,,,,,,,,,,,,,2,,2
,ECOR,4,12,,,,,,,1,3,,,,,,,,,5,15,20
,ENST,11,11,,,,,,,2,3,,,,,,,,,13,14,27
,ENTO,37,32,,1,1,3,,1,19,12,,,1,2,6,5,,,64,56,120
,FISC,,2,,,,,,,,1,,,,,,,,,,3,3
,FIVL,23,8,1,,,,4,,14,2,,,,,,,,,42,10,52
,FIVS,12,7,,,1,2,,1,5,1,,,1,,,,,,19,11,30
,FLOR,1,,,,,,,,1,,,,,,,,,,2,,2
,FORS,7,16,,,1,1,1,,1,1,,,,,4,4,,,14,22,36
,FSTC,65,35,,,2,5,4,2,21,7,,,4,1,11,6,,,107,56,163
,GENE,45,36,,,8,3,3,3,10,5,,,2,1,4,6,1,,73,54,127
,HORT,115,46,1,2,1,,,,15,12,,,2,,7,5,,,141,65,206
,MEPS,1,3,,,,1,,1,1,1,,,,,7,9,,,9,15,24
,NRDV,11,16,,,,,1,,2,1,,,1,,,,,,15,17,32
,NUSC,261,36,,,27,8,10,1,63,14,1,,6,2,4,,,,372,61,433
,NUTR,14,4,,,1,1,,,1,,,,,,12,4,,,28,9,37
,PLBR,7,22,,,,,,,,2,,,,,9,10,,,16,34,50
,PLPA,4,3,,,,,1,,4,4,,,1,,4,8,,1,14,16,30
,POSC,49,71,1,1,,,4,3,12,15,,,2,,2,6,,,70,96,166
,PPRO,,1,,,,,,,,,,,,,,,,,,1,1
,PREP,3,2,,,,,,,2,1,,1,,,2,1,,,7,5,12
,PSSC,3,2,,,,,,,,,,,,1,,,,,3,3,6
,RENR,9,37,,2,,,,1,2,4,,,,,,,,1,11,45,56
,RLEM,24,51,,,1,,1,,6,10,,,,3,6,2,,,38,66,104
,RPTS,216,151,1,,4,4,6,11,24,18,1,,2,5,20,9,,,274,198,472
,SOSC,8,12,,,,2,,1,1,,,,,,3,1,,,12,16,28
,SPSA,3,15,,,,1,1,,,5,,,,2,,,,,4,23,27
,TOXI,1,,,,,,,,,,,,,,1,,,,2,,2
,USAL,37,59,,,,1,2,4,6,10,,,1,,,,,,46,74,120
,WFSC,170,167,1,,2,1,8,1,67,42,,,3,1,13,8,2,1,266,221,487
,WISC,8,6,,,,,,,1,,,,,,,,,,9,6,15
,WMHS,2,10,,,,,1,,,,,,,,2,,,,5,10,15
,Subtotal,"2,526","2,363",19,14,96,96,103,106,513,415,2,2,62,53,214,224,6,9,"3,541","3,282","6,823"
Architecture,ARCH,23,39,2,,5,3,,2,3,11,,,,,33,34,1,1,67,90,157
,COMG,5,10,,,,,1,,,4,,,,1,8,14,,,14,29,43
,COSC,26,263,,3,2,1,,5,11,36,,,1,4,,1,,,40,313,353
,COSL,9,165,,1,,1,1,2,8,29,,,1,2,,2,,,19,202,221
,ENDL,65,56,,,7,1,1,1,27,20,,,1,2,1,,,,102,80,182
,ENDS,50,49,,,4,4,,2,23,19,,,2,2,1,,,,80,76,156
,LAND,23,34,,,3,,,,3,9,,,1,3,24,6,,,54,52,106
,LANL,15,14,,,,1,,1,6,6,,,,1,,,,,21,23,44
,LDEV,4,15,,,,,,2,1,2,,,,,1,7,1,,7,26,33
,NUTR,,,,,,,,,,,,,,,1,,,,1,,1
,URPL,11,15,,,,,,,2,2,,,,1,11,4,,1,24,23,47
,URSC,12,36,,,2,2,2,5,13,17,1,,,,16,25,,,46,85,131
,USAR,6,24,,,,1,,1,4,8,,,,1,,,,,10,35,45
,VISL,50,41,,,3,3,,2,10,11,,,1,1,1,,1,,66,58,124
,VIST,42,62,1,,3,4,,1,8,12,,,,1,4,10,1,,59,90,149
,Subtotal,341,823,3,4,29,21,5,24,119,186,1,,7,19,101,103,4,2,610,"1,182","1,792"
