Spring 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,"4,058",100.0%,699,100.0%,68,100.0%,,,"4,825",100.0%,
,,"1,998",49.2%,280,40.1%,17,25.0%,,,"2,295",47.6%,
,,"2,060",50.8%,419,59.9%,51,75.0%,,,"2,530",52.4%,
"Ethnicity
TAMU Age
Categories
Enrollment Status
Tuition Status
Residency Status
SCH
Categories
Ft/Pt: TAMU
Status
Top 10% Texas High School
First Generation",White Only (NEW),"3,142",77.4%,452,64.7%,29,42.6%,,,"3,623",75.1%,
,American Indian Only (NEW),4,.1%,1,.1%,,,,,5,.1%,
,Asian Only (NEW),204,5.0%,43,6.2%,7,10.3%,,,254,5.3%,
,Black Only + 2 or more/1 Black (NEW),110,2.7%,22,3.1%,1,1.5%,,,133,2.8%,
,Hispanic or Latino of any Race (NEW),482,11.9%,46,6.6%,1,1.5%,,,529,11.0%,
,Native Hawaii Only (New),4,.1%,,,,,,,4,.1%,
,2 or More/Excluding Black (NEW),66,1.6%,2,.3%,,,,,68,1.4%,
,International,41,1.0%,125,17.9%,25,36.8%,,,191,4.0%,
,Unknown or Not Reported,5,.1%,8,1.1%,5,7.4%,,,18,.4%,
,<18,,,,,,,,,,,
,18-21,"2,389",58.9%,2,.3%,,,,,"2,391",49.6%,
,22-25,"1,629",40.1%,426,60.9%,2,2.9%,,,"2,057",42.6%,
,26-30,18,.4%,135,19.3%,30,44.1%,,,183,3.8%,
,31-39,12,.3%,70,10.0%,28,41.2%,,,110,2.3%,
,40+,10,.2%,66,9.4%,8,11.8%,,,84,1.7%,
,1st Time in College,8,.2%,,,,,,,8,.2%,
,1st Time PB,,,2,.3%,,,,,2,.0%,
,1st Time Graduate,,,81,11.6%,,,,,81,1.7%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,12,.3%,3,.4%,,,,,15,.3%,
,Continuing,"4,038",99.5%,613,87.7%,68,100.0%,,,"4,719",97.8%,
,Resident Tuition,"3,838",94.6%,505,72.2%,14,20.6%,,,"4,357",90.3%,
,Non-Resident Tuition,58,1.4%,65,9.3%,2,2.9%,,,125,2.6%,
,Tuition Exemption/Waiver,162,4.0%,129,18.5%,52,76.5%,,,343,7.1%,
,Texas Resident,"3,938",97.0%,536,76.7%,19,27.9%,,,"4,493",93.1%,
,"Non-TX, US Resident",80,2.0%,38,5.4%,24,35.3%,,,142,2.9%,
,"Non-TX, Non-US Resident",40,1.0%,125,17.9%,25,36.8%,,,190,3.9%,
,< 6 SCH,38,.9%,21,3.0%,1,1.5%,,,60,1.2%,
,6-8 SCH,88,2.2%,170,24.3%,,,,,258,5.3%,
,9-11 SCH,255,6.3%,208,29.8%,63,92.6%,,,526,10.9%,
,12-14 SCH,"2,338",57.6%,190,27.2%,4,5.9%,,,"2,532",52.5%,
,15-17 SCH,"1,276",31.4%,28,4.0%,,,,,"1,304",27.0%,
,>17 SCH,63,1.6%,82,11.7%,,,,,145,3.0%,
,Less Than Half Time,38,.9%,19,2.7%,1,1.5%,,,58,1.2%,
,Half-Time,343,8.5%,173,24.7%,,,,,516,10.7%,
,Full-Time,"3,677",90.6%,507,72.5%,67,98.5%,,,"4,251",88.1%,
,No,"2,038",50.2%,690,98.7%,66,97.1%,,,"2,794",57.9%,
,Yes,"2,020",49.8%,9,1.3%,2,2.9%,,,"2,031",42.1%,
,No,"3,161",77.9%,25,3.6%,8,11.8%,,,"3,194",66.2%,
,Unknown,97,2.4%,669,95.7%,60,88.2%,,,826,17.1%,
,Yes,800,19.7%,5,.7%,,,,,805,16.7%,
"Prepared by DARS, 6/19/2012",,,,,,,,,,,,
