Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Education,BIED,,,,,,,,10,10,,,,,10
,CPSY,,,,,,,,2,2,10,10,,,12
,EDAD,,,,,,,,12,12,51,51,,,63
,EDCI,,,,,,,,25,25,17,17,,,42
,EDHL,8,24,35,19,,86,,,,,,,,86
,EDIS,23,26,24,5,,78,,,,,,,,78
,EDKI,23,34,28,18,,103,,,,,,,,103
,EDSM,5,7,11,2,,25,,,,,,,,25
,EDTC,,,,,,,,4,4,,,,,4
,EHRD,,,,,,,,11,11,14,14,,,25
,EPSY,,,,,,,,2,2,16,16,,,18
,HEED,,,,,,,,8,8,3,3,,,11
,HLTH,,,3,27,,30,,,,,,,,30
,HRDL,2,3,10,6,,21,,,,,,,,21
,HRDV,,,1,17,,18,,,,,,,,18
,INST,,1,18,87,,106,,,,,,,,106
,KINE,,,3,40,,43,,5,5,5,5,,,53
,NUTR,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,
,SPED,,,,,,,,2,2,,,,,2
,SPMT,,,3,16,,19,,5,5,,,,,24
,SPSY,,,,,,,,,,9,9,,,9
,TCMG,,,1,12,,13,,,,,,,,13
,TCML,3,3,10,9,,25,,,,,,,,25
,TECR,,,,,1,1,,,,,,,,1
,USEH,,,,,,,,,,,,,,
,Subtotal,64,98,147,258,1,568,,86,86,125,125,,,779
