Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,,,,,,
,ADEV,,,,,,,,,,,,,,,
,AGBL,,,,,,,,,,,,,,,
,AGBU,,,1,2,,3,,,,,,,,3,
,AGCJ,,1,2,5,,8,,,,,,,,8,
,AGEC,1,,,2,,3,,,,1,1,,,4,
,AGLS,3,5,1,,,9,,,,,,,,9,
,AGRO,,,,,,,,,,,,,,,
,AGSC,,,,1,,1,,,,,,,,1,
,AGSM,,,,1,,1,,,,,,,,1,
,ALEC,,,,,,,3,2,5,7,7,,,12,
,ALED,9,3,16,19,1,48,,,,,,,,48,
,ANBR,,,,,,,,1,1,,,,,1,
,ANSC,,1,1,3,,5,,1,1,,,,,6,
,BAEN,,1,2,3,,6,,,,3,3,,,9,
,BESC,,,4,6,,10,,,,,,,,10,
,BICH,5,2,4,6,,17,,1,1,1,1,,,19,
,BIOT,,,,,,,,,,,,,,,
,CDEV,,,1,,,1,,,,,,,,1,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,,,,,,,,,1,1,,,1,
,FISC,,,,,,,,,,,,,,,
,FIVL,2,1,1,,,4,,,,,,,,4,
,FIVS,,,,1,,1,,,,,,,,1,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,,,1,1,,,1,
,FSTC,,,,4,,4,,2,2,,,,,6,
,GENE,2,1,1,2,,6,,,,,,,,6,
,HORT,,,,,,,,,,,,,,,
,MEPS,,,,,,,,,,1,1,,,1,
,NRDV,,,,,,,,1,1,,,,,1,
,NUSC,1,2,4,4,,11,,,,,,,,11,
,NUTR,,,,,,,,,,,,,,,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,,,1,1,,,1,
,POSC,,,1,4,,5,,,,2,2,,,7,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,,,,,,
,PSSC,,,,,,,,,,,,,,,
,RENR,1,,,,,1,,,,,,,,1,
,RLEM,,,,,,,,,,1,1,,,1,
,RPTS,,3,8,,1,12,,,,5,5,,,17,
,SOSC,,,,,,,,,,1,1,,,1,
