Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Education,BIED,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,,,,,
,EDAD,,,,,,,,,,,,,,
,EDCI,,,,,,,,,,,,,,
,EDHL,,,,,,,,,,,,,,
,EDIS,,,,,,,,,,,,,,
,EDKI,,,1,,,1,,,,,,,,1
,EDSM,,,,,,,,,,,,,,
,EDTC,,,,,,,,,,,,,,
,EHRD,,,,,,,,,,,,,,
,EPSY,,,,,,,,,,,,,,
,HEED,,,,,,,,,,,,,,
,HLTH,,,,,,,,,,,,,,
,HRDL,,,,,,,,,,,,,,
,HRDV,,,,,,,,,,,,,,
,INST,,,,,,,,,,,,,,
,KINE,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,
,SPMT,,,,,,,,,,,,,,
,SPSY,,,,,,,,,,,,,,
,TCMG,,,,,,,,,,,,,,
,TCML,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,
,Subtotal,,,1,,,1,,,,,,,,1
