Spring 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,1,4,5,,1,1,,1,1,1,2,3,,,,,1,1,2,9,11,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,1,1,,,,,,,,,,,,,,,,,1,1,
,18-21,1,3,4,,1,1,,1,1,1,2,3,,,,,1,1,2,8,10,
,22-25,,,,,,,,,,,,,,,,,,,,,,
,26-30,,,,,,,,,,,,,,,,,,,,,,
,Freshman,1,3,4,,1,1,,1,1,1,2,3,,,,,1,1,2,8,10,
,Sophomore,,1,1,,,,,,,,,,,,,,,,,1,1,
,Junior,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,1,4,5,,1,1,,1,1,1,2,3,,,,,,,2,8,10,
,Non-Resident  Tuition,,,,,,,,,,,,,,,,,1,1,,1,1,
,Tuition,,,,,,,,,,,,,,,,,,,,,,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,1,4,5,,1,1,,1,1,1,2,3,,,,,,,2,8,10,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,1,1,,1,1,
,Resident,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,1,2,3,,1,1,,1,1,1,2,3,,,,,,,2,6,8,
,15-17 SCH,,2,2,,,,,,,,,,,,,,1,1,,3,3,
,Half-Time,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,1,4,5,,1,1,,1,1,1,2,3,,,,,1,1,2,9,11,
,No,,4,4,,1,1,,1,1,,2,2,,,,,1,1,,9,9,
,Yes,1,,1,,,,,,,1,,1,,,,,,,2,,2,
,No,,2,2,,1,1,,,,,2,2,,,,,,,,5,5,
,Unknown,,1,1,,,,,,,,,,,,,,1,1,,2,2,
,Yes,1,1,2,,,,,1,1,1,,1,,,,,,,2,2,4,
,1.00,1,3,4,,1,1,,1,1,,1,1,,,,,,,1,6,7,
,2.00,,1,1,,,,,,,1,1,2,,,,,1,1,1,3,4,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,
