Spring 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,82,115,197,1,1,3,1,4,3,4,7,13,18,31,,,2,4,6,2,1,3,,,,106,143,249,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,51,60,111,,,1,,1,2,4,6,11,8,19,,,1,1,2,1,,1,,,,67,73,140,
,22-25,23,49,72,,,,,,,,,2,9,11,,,1,3,4,,1,1,,,,26,62,88,
,26-30,2,4,6,,,2,,2,,,,,1,1,,,,,,1,,1,,,,5,5,10,
,31-39,3,2,5,1,1,,,,,,,,,,,,,,,,,,,,,4,2,6,
,40+,3,,3,,,,1,1,1,,1,,,,,,,,,,,,,,,4,1,5,
,Freshman,1,1,2,,,,,,,1,1,,1,1,,,,,,,,,,,,1,3,4,
,Sophomore,40,57,97,,,1,,1,1,1,2,8,7,15,,,,4,4,,,,,,,50,69,119,
,Junior,37,50,87,1,1,,,,1,2,3,4,7,11,,,2,,2,1,1,2,,,,46,60,106,
,Senior,4,6,10,,,1,,1,1,,1,,3,3,,,,,,1,,1,,,,7,9,16,
,PB,,1,1,,,1,1,2,,,,1,,1,,,,,,,,,,,,2,2,4,
,Resident Tuition,77,110,187,1,1,3,1,4,3,3,6,12,17,29,,,2,3,5,,,,,,,98,134,232,
,Non-Resident Tuition,3,1,4,,,,,,,1,1,,,,,,,,,2,1,3,,,,5,3,8,
,Tuition,2,4,6,,,,,,,,,1,1,2,,,,1,1,,,,,,,3,6,9,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,79,112,191,1,1,3,1,4,3,3,6,13,18,31,,,2,4,6,,,,,,,101,138,239,
,"Non-TX, US Resident",3,3,6,,,,,,,1,1,,,,,,,,,,,,,,,3,4,7,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,2,1,3,,,,2,1,3,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,1,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,6-8 SCH,1,1,2,,,,,,,,,2,1,3,,,,,,,,,,,,3,2,5,
,9-11 SCH,5,3,8,,,,1,1,1,,1,1,,1,,,,,,,,,,,,7,4,11,
,12-14 SCH,58,79,137,1,1,2,,2,1,4,5,8,13,21,,,2,4,6,1,1,2,,,,73,101,174,
,15-17 SCH,17,31,48,,,,,,1,,1,2,4,6,,,,,,,,,,,,20,35,55,
,>17 SCH,,,,,,1,,1,,,,,,,,,,,,1,,1,,,,2,,2,
,Less Than Half Time,1,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,Half-Time,6,4,10,,,,1,1,1,,1,3,1,4,,,,,,,,,,,,10,6,16,
,Full-Time,75,110,185,1,1,3,,3,2,4,6,10,17,27,,,2,4,6,2,1,3,,,,95,136,231,
,No,74,113,187,1,1,2,1,3,2,4,6,13,18,31,,,1,4,5,2,1,3,,,,95,141,236,
,Yes,8,2,10,,,1,,1,1,,1,,,,,,1,,1,,,,,,,11,2,13,
,No,56,76,132,,,2,1,3,1,1,2,8,3,11,,,,3,3,,,,,,,67,84,151,
,Unknown,1,4,5,,,,,,,,,,,,,,,,,2,1,3,,,,3,5,8,
,Yes,25,35,60,1,1,1,,1,2,3,5,5,15,20,,,2,1,3,,,,,,,36,54,90,
,1.00,77,110,187,1,1,2,1,3,3,4,7,12,16,28,,,2,4,6,2,1,3,,,,99,136,235,
,2.00,5,5,10,,,1,,1,,,,1,2,3,,,,,,,,,,,,7,7,14,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
