Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Education,BIED,,,,,,,,1,1,,,,,1
,CPSY,,,,,,,,2,2,4,4,,,6
,EDAD,,,,,,,2,12,14,26,26,,,40
,EDCI,,,,,,,,12,12,44,44,,,56
,EDHL,3,5,8,2,,18,,,,,,,,18
,EDIS,3,4,2,3,,12,,,,,,,,12
,EDKI,3,6,5,3,,17,,,,,,,,17
,EDSM,4,1,11,2,,18,,,,,,,,18
,EDTC,,,,,,,,,,,,,,
,EHRD,,,,,,,,4,4,17,17,,,21
,EPSY,,,,,,,,1,1,4,4,,,5
,HEED,,,,,,,,1,1,6,6,,,7
,HLTH,,,4,4,1,9,,,,,,,,9
,HRDL,,,4,5,,9,,,,,,,,9
,HRDV,,,1,5,,6,,,,,,,,6
,INST,,,3,11,,14,,,,,,,,14
,KINE,,,,2,,2,,5,5,3,3,,,10
,NUTR,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,
,SPED,,,,,,,,3,3,,,,,3
,SPMT,,,6,4,,10,,6,6,,,,,16
,SPSY,,,,,,,,,,4,4,,,4
,TCMG,,,,2,,2,,,,,,,,2
,TCML,1,,3,,,4,,,,,,,,4
,TECR,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,
,Subtotal,14,16,47,43,1,121,2,47,49,108,108,,,278
