Spring 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,"5,550",100.0%,651,100.0%,622,100.0%,,,"6,823",100.0%,
,,"2,914",52.5%,336,51.6%,291,46.8%,,,"3,541",51.9%,
,,"2,636",47.5%,315,48.4%,331,53.2%,,,"3,282",48.1%,
"Ethnicity
TAMU Age
Categories
Enrollment Status
Tuition Status
Residency Status
SCH
Categories
Ft/Pt: TAMU
Status
Top 10% Texas High School
First Generation",White Only (NEW),"4,202",75.7%,425,65.3%,262,42.1%,,,"4,889",71.7%,
,American Indian Only (NEW),31,.6%,1,.2%,1,.2%,,,33,.5%,
,Asian Only (NEW),169,3.0%,12,1.8%,11,1.8%,,,192,2.8%,
,Black Only + 2 or more/1 Black (NEW),169,3.0%,14,2.2%,26,4.2%,,,209,3.1%,
,Hispanic or Latino of any Race (NEW),817,14.7%,56,8.6%,55,8.8%,,,928,13.6%,
,Native Hawaii Only (New),3,.1%,,,1,.2%,,,4,.1%,
,2 or More/Excluding Black (NEW),106,1.9%,9,1.4%,,,,,115,1.7%,
,International,43,.8%,134,20.6%,261,42.0%,,,438,6.4%,
,Unknown or Not Reported,10,.2%,,,5,.8%,,,15,.2%,
,<18,1,.0%,,,,,,,1,.0%,
,18-21,"2,506",45.2%,1,.2%,,,,,"2,507",36.7%,
,22-25,"2,786",50.2%,316,48.5%,33,5.3%,,,"3,135",45.9%,
,26-30,185,3.3%,203,31.2%,281,45.2%,,,669,9.8%,
,31-39,53,1.0%,80,12.3%,236,37.9%,,,369,5.4%,
,40+,19,.3%,51,7.8%,72,11.6%,,,142,2.1%,
,1st Time in College,10,.2%,,,,,,,10,.1%,
,1st Time PB,,,14,2.2%,,,,,14,.2%,
,1st Time Graduate,,,58,8.9%,20,3.2%,,,78,1.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,249,4.5%,,,,,,,249,3.6%,
,Readmitted,65,1.2%,,,2,.3%,,,67,1.0%,
,Continuing,"5,226",94.2%,579,88.9%,600,96.5%,,,"6,405",93.9%,
,Resident Tuition,"5,121",92.3%,405,62.2%,242,38.9%,,,"5,768",84.5%,
,Non-Resident Tuition,103,1.9%,73,11.2%,64,10.3%,,,240,3.5%,
,Tuition Exemption/Waiver,326,5.9%,173,26.6%,316,50.8%,,,815,11.9%,
,Texas Resident,"5,298",95.5%,424,65.1%,252,40.5%,,,"5,974",87.6%,
,"Non-TX, US Resident",206,3.7%,93,14.3%,108,17.4%,,,407,6.0%,
,"Non-TX, Non-US Resident",46,.8%,134,20.6%,262,42.1%,,,442,6.5%,
,< 6 SCH,75,1.4%,153,23.5%,103,16.6%,,,331,4.9%,
,6-8 SCH,207,3.7%,58,8.9%,25,4.0%,,,290,4.3%,
,9-11 SCH,309,5.6%,388,59.6%,480,77.2%,,,"1,177",17.3%,
,12-14 SCH,"2,986",53.8%,49,7.5%,12,1.9%,,,"3,047",44.7%,
,15-17 SCH,"1,768",31.9%,3,.5%,1,.2%,,,"1,772",26.0%,
,>17 SCH,205,3.7%,,,1,.2%,,,206,3.0%,
,Less Than Half Time,75,1.4%,120,18.4%,87,14.0%,,,282,4.1%,
,Half-Time,516,9.3%,92,14.1%,41,6.6%,,,649,9.5%,
,Full-Time,"4,959",89.4%,439,67.4%,494,79.4%,,,"5,892",86.4%,
,No,"3,683",66.4%,635,97.5%,594,95.5%,,,"4,912",72.0%,
,Yes,"1,867",33.6%,16,2.5%,28,4.5%,,,"1,911",28.0%,
,No,"3,643",65.6%,379,58.2%,328,52.7%,,,"4,350",63.8%,
,Unknown,176,3.2%,76,11.7%,93,15.0%,,,345,5.1%,
,Yes,"1,731",31.2%,196,30.1%,201,32.3%,,,"2,128",31.2%,
"Prepared by DARS, 6/19/2012",,,,,,,,,,,,
