Spring 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,228,256,484,1,1,8,13,21,9,10,19,46,66,112,1,1,5,10,15,4,12,16,2,2,4,304,369,673,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,163,140,303,,,3,6,9,7,9,16,33,39,72,1,1,3,4,7,1,8,9,1,,1,212,206,418,
,22-25,45,90,135,,,3,4,7,1,,1,12,23,35,,,2,5,7,2,3,5,1,2,3,66,127,193,
,26-30,5,15,20,,,2,2,4,,,,,3,3,,,,1,1,1,1,2,,,,8,22,30,
,31-39,6,9,15,1,1,,,,,1,1,1,1,2,,,,,,,,,,,,8,11,19,
,40+,9,2,11,,,,1,1,1,,1,,,,,,,,,,,,,,,10,3,13,
,Freshman,3,3,6,,,,,,1,1,2,1,3,4,,,,1,1,,1,1,,,,5,9,14,
,Sophomore,122,122,244,,,3,6,9,5,2,7,28,25,53,1,1,,6,6,1,4,5,1,1,2,161,166,327,
,Junior,88,107,195,1,1,3,3,6,2,6,8,15,33,48,,,3,3,6,1,5,6,1,1,2,114,158,272,
,Senior,14,21,35,,,1,3,4,1,,1,1,5,6,,,2,,2,2,2,4,,,,21,31,52,
,PB,1,3,4,,,1,1,2,,1,1,1,,1,,,,,,,,,,,,3,5,8,
,Resident Tuition,215,241,456,1,1,7,12,19,9,9,18,40,61,101,1,1,4,9,13,,,,1,2,3,278,334,612,
,Non-Resident Tuition,6,2,8,,,1,1,2,,1,1,,,,,,1,,1,4,12,16,1,,1,13,16,29,
,Tuition,7,13,20,,,,,,,,,6,5,11,,,,1,1,,,,,,,13,19,32,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,220,251,471,1,1,8,13,21,9,9,18,46,66,112,1,1,5,10,15,,,,1,2,3,291,351,642,
,"Non-TX, US Resident",8,5,13,,,,,,,1,1,,,,,,,,,,,,1,,1,9,6,15,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,4,12,16,,,,4,12,16,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,2,2,4,,,,,,,,,1,,1,,,,,,,,,,,,3,2,5,
,6-8 SCH,4,9,13,,,,1,1,,,,2,1,3,,,,,,,,,,,,6,11,17,
,9-11 SCH,8,11,19,,,,1,1,2,1,3,2,2,4,,,,,,,,,,,,12,15,27,
,12-14 SCH,132,170,302,1,1,7,8,15,4,7,11,33,45,78,1,1,4,7,11,3,8,11,1,2,3,186,247,433,
,15-17 SCH,81,60,141,,,,3,3,3,2,5,8,17,25,,,1,3,4,,4,4,1,,1,94,89,183,
,>17 SCH,1,4,5,,,1,,1,,,,,1,1,,,,,,1,,1,,,,3,5,8,
,Less Than Half Time,2,2,4,,,,,,,,,1,,1,,,,,,,,,,,,3,2,5,
,Half-Time,13,20,33,,,,2,2,2,2,4,4,4,8,,,,,,,1,1,,,,19,29,48,
,Full-Time,213,234,447,1,1,8,11,19,7,8,15,41,62,103,1,1,5,10,15,4,11,15,2,2,4,282,338,620,
,No,195,241,436,1,1,7,10,17,8,10,18,44,57,101,1,1,4,9,13,4,12,16,2,2,4,266,341,607,
,Yes,33,15,48,,,1,3,4,1,,1,2,9,11,,,1,1,2,,,,,,,38,28,66,
,No,158,161,319,,,5,8,13,6,5,11,24,32,56,1,1,3,6,9,,,,1,2,3,198,214,412,
,Unknown,3,5,8,,,,,,,,,1,3,4,,,,,,4,12,16,1,,1,9,20,29,
,Yes,67,90,157,1,1,3,5,8,3,5,8,21,31,52,,,2,4,6,,,,,,,97,135,232,
,1.00,212,232,444,1,1,6,9,15,5,9,14,42,56,98,1,1,5,9,14,3,9,12,1,2,3,276,326,602,
,2.00,16,24,40,,,2,4,6,4,1,5,4,10,14,,,,1,1,1,3,4,1,,1,28,43,71,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
