Spring 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,66,40,106,,,4,4,8,2,2,4,15,16,31,,,1,3,4,,1,1,1,,1,89,66,155,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,55,24,79,,,2,3,5,1,2,3,10,11,21,,,1,1,2,,,,1,,1,70,41,111,
,22-25,6,13,19,,,2,1,3,1,,1,4,3,7,,,,1,1,,,,,,,13,18,31,
,26-30,,2,2,,,,,,,,,,2,2,,,,1,1,,1,1,,,,,6,6,
,31-39,2,1,3,,,,,,,,,1,,1,,,,,,,,,,,,3,1,4,
,40+,3,,3,,,,,,,,,,,,,,,,,,,,,,,3,,3,
,Freshman,1,2,3,,,,,,1,,1,,1,1,,,,1,1,,,,,,,2,4,6,
,Sophomore,44,26,70,,,2,3,5,1,,1,12,8,20,,,,1,1,,1,1,,,,59,39,98,
,Junior,19,11,30,,,2,1,3,,2,2,3,7,10,,,1,1,2,,,,1,,1,26,22,48,
,Senior,2,1,3,,,,,,,,,,,,,,,,,,,,,,,2,1,3,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,63,38,101,,,3,4,7,2,2,4,13,15,28,,,1,3,4,,,,,,,82,62,144,
,Non-Resident Tuition,1,,1,,,1,,1,,,,,,,,,,,,,1,1,1,,1,3,1,4,
,Tuition,2,2,4,,,,,,,,,2,1,3,,,,,,,,,,,,4,3,7,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,64,40,104,,,4,4,8,2,2,4,15,16,31,,,1,3,4,,,,,,,86,65,151,
,"Non-TX, US Resident",2,,2,,,,,,,,,,,,,,,,,,,,1,,1,3,,3,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,6-8 SCH,1,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,9-11 SCH,1,3,4,,,,,,,,,1,,1,,,,,,,,,,,,2,3,5,
,12-14 SCH,36,19,55,,,4,2,6,1,1,2,11,10,21,,,1,2,3,,1,1,,,,53,35,88,
,15-17 SCH,27,17,44,,,,2,2,1,1,2,3,5,8,,,,1,1,,,,1,,1,32,26,58,
,>17 SCH,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,
,Less Than Half Time,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,Half-Time,3,4,7,,,,,,,,,1,,1,,,,,,,,,,,,4,4,8,
,Full-Time,62,36,98,,,4,4,8,2,2,4,14,16,30,,,1,3,4,,1,1,1,,1,84,62,146,
,No,55,38,93,,,4,4,8,2,2,4,15,14,29,,,1,3,4,,1,1,1,,1,78,62,140,
,Yes,11,2,13,,,,,,,,,,2,2,,,,,,,,,,,,11,4,15,
,No,50,27,77,,,2,1,3,2,1,3,7,11,18,,,1,1,2,,,,1,,1,63,41,104,
,Unknown,1,,1,,,,,,,,,1,1,2,,,,,,,1,1,,,,2,2,4,
,Yes,15,13,28,,,2,3,5,,1,1,7,4,11,,,,2,2,,,,,,,24,23,47,
,1.00,59,34,93,,,3,1,4,,1,1,15,15,30,,,1,3,4,,1,1,,,,78,55,133,
,2.00,7,6,13,,,1,3,4,2,1,3,,1,1,,,,,,,,,1,,1,11,11,22,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
