Spring 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,648,100.0%,177,100.0%,157,100.0%,,,982,100.0%,
,,240,37.0%,76,42.9%,68,43.3%,,,384,39.1%,
,,408,63.0%,101,57.1%,89,56.7%,,,598,60.9%,
"Ethnicity
TAMU Age
Categories
Enrollment Status
Tuition Status
Residency Status
SCH
Categories
Ft/Pt: TAMU
Status
Top 10% Texas High School
First Generation",White Only (NEW),482,74.4%,119,67.2%,62,39.5%,,,663,67.5%,
,American Indian Only (NEW),3,.5%,1,.6%,,,,,4,.4%,
,Asian Only (NEW),20,3.1%,4,2.3%,3,1.9%,,,27,2.7%,
,Black Only + 2 or more/1 Black (NEW),13,2.0%,4,2.3%,2,1.3%,,,19,1.9%,
,Hispanic or Latino of any Race (NEW),99,15.3%,16,9.0%,2,1.3%,,,117,11.9%,
,Native Hawaii Only (New),1,.2%,,,,,,,1,.1%,
,2 or More/Excluding Black (NEW),10,1.5%,1,.6%,2,1.3%,,,13,1.3%,
,International,20,3.1%,31,17.5%,83,52.9%,,,134,13.6%,
,Unknown or Not Reported,,,1,.6%,3,1.9%,,,4,.4%,
,<18,,,,,,,,,,,
,18-21,320,49.4%,,,,,,,320,32.6%,
,22-25,298,46.0%,87,49.2%,9,5.7%,,,394,40.1%,
,26-30,21,3.2%,64,36.2%,71,45.2%,,,156,15.9%,
,31-39,7,1.1%,21,11.9%,59,37.6%,,,87,8.9%,
,40+,2,.3%,5,2.8%,18,11.5%,,,25,2.5%,
,1st Time in College,,,,,,,,,,,
,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,17,9.6%,6,3.8%,,,23,2.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,7,1.1%,,,,,,,7,.7%,
,Readmitted,7,1.1%,2,1.1%,,,,,9,.9%,
,Continuing,634,97.8%,158,89.3%,151,96.2%,,,943,96.0%,
,Resident Tuition,575,88.7%,96,54.2%,34,21.7%,,,705,71.8%,
,Non-Resident Tuition,27,4.2%,23,13.0%,26,16.6%,,,76,7.7%,
,Tuition Exemption/Waiver,46,7.1%,58,32.8%,97,61.8%,,,201,20.5%,
,Texas Resident,603,93.1%,98,55.4%,38,24.2%,,,739,75.3%,
,"Non-TX, US Resident",26,4.0%,47,26.6%,35,22.3%,,,108,11.0%,
,"Non-TX, Non-US Resident",19,2.9%,32,18.1%,84,53.5%,,,135,13.7%,
,< 6 SCH,8,1.2%,27,15.3%,19,12.1%,,,54,5.5%,
,6-8 SCH,16,2.5%,4,2.3%,6,3.8%,,,26,2.6%,
,9-11 SCH,42,6.5%,141,79.7%,129,82.2%,,,312,31.8%,
,12-14 SCH,303,46.8%,5,2.8%,3,1.9%,,,311,31.7%,
,15-17 SCH,262,40.4%,,,,,,,262,26.7%,
,>17 SCH,17,2.6%,,,,,,,17,1.7%,
,Less Than Half Time,8,1.2%,23,13.0%,19,12.1%,,,50,5.1%,
,Half-Time,58,9.0%,8,4.5%,7,4.5%,,,73,7.4%,
,Full-Time,582,89.8%,146,82.5%,131,83.4%,,,859,87.5%,
,No,402,62.0%,172,97.2%,153,97.5%,,,727,74.0%,
,Yes,246,38.0%,5,2.8%,4,2.5%,,,255,26.0%,
,No,428,66.0%,109,61.6%,69,43.9%,,,606,61.7%,
,Unknown,34,5.2%,15,8.5%,30,19.1%,,,79,8.0%,
,Yes,186,28.7%,53,29.9%,58,36.9%,,,297,30.2%,
"Prepared by DARS, 6/19/2012",,,,,,,,,,,,
