Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Education,BIED,,,,,,,,,,,,,,
,CPSY,,,,,,,,1,1,1,1,,,2
,EDAD,,,,,,,,,,,,,,
,EDCI,,,,,,,,6,6,3,3,,,9
,EDHL,2,4,4,,,10,,,,,,,,10
,EDIS,2,8,1,,,11,,,,,,,,11
,EDKI,2,10,7,1,,20,,,,,,,,20
,EDSM,2,,1,2,,5,,,,,,,,5
,EDTC,,,,,,,,,,,,,,
,EHRD,,,,,,,,1,1,,,,,1
,EPSY,,,,,,,,1,1,1,1,,,2
,HEED,,,,,,,,,,1,1,,,1
,HLTH,,,,3,,3,,,,,,,,3
,HRDL,,,,1,,1,,,,,,,,1
,HRDV,,,,2,,2,,,,,,,,2
,INST,,,,6,,6,,,,,,,,6
,KINE,,,,2,,2,,,,,,,,2
,NUTR,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,
,SPMT,,,,2,,2,,1,1,,,,,3
,SPSY,,,,,,,,1,1,,,,,1
,TCMG,,,,2,,2,,,,,,,,2
,TCML,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,
,Subtotal,8,22,13,21,,64,,11,11,6,6,,,81
