Spring 2012,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Liberal Arts,ANTH,215,,8,11,57,,10,14,,315
,CLED,1,,,,,,,,,1
,CLLA,406,2,16,31,170,3,16,5,1,650
,COMM,728,2,20,39,131,,25,11,3,959
,ECON,381,1,42,19,83,2,10,130,3,671
,ENGL,508,6,17,23,126,,14,22,1,717
,EURO,47,,,3,10,,,1,1,62
,HISP,47,,,,63,,,9,,119
,HIST,566,2,6,18,106,,14,6,5,723
,PHUM,73,2,6,2,15,,2,,3,103
,POLS,489,4,29,33,136,,15,12,5,723
,PRFM,54,,2,4,16,,1,1,,78
,PSYC,914,4,77,69,293,1,19,22,5,"1,404"
,SOCI,300,5,19,62,132,1,4,12,2,537
,Subtotal,"4,729",28,242,314,"1,338",7,130,245,29,"7,062"
"Science
Veterinary Medicine
General Studies
Other - Special Populations",BIOL,841,7,185,51,320,2,40,48,1,"1,495"
,CHEM,254,2,41,14,79,,7,141,4,542
,CLSC,14,,1,1,2,,,,,18
,MATH,312,,26,13,83,1,19,88,3,545
,PHYS,160,1,8,3,38,,8,87,1,306
,STAT,80,,14,2,10,,4,50,3,163
,Subtotal,"1,661",10,275,84,532,3,78,414,12,"3,069"
,CLVM,"1,419",5,169,52,351,2,41,9,9,"2,057"
,VIBS,18,,2,2,2,,,16,,40
,VLCS,10,1,,,,,,1,,12
,VSCS,2,,,,2,,,5,,9
,VTPB,27,,2,2,5,,,8,,44
,VTPP,18,,3,1,,,,10,,32
,Subtotal,"1,494",6,176,57,360,2,41,49,9,"2,194"
,GEST,"2,684",8,200,176,776,7,87,36,8,"3,982"
,Subtotal,"2,684",8,200,176,776,7,87,36,8,"3,982"
,CLMD,3,,,,1,,1,1,1,7
,MARS,2,,,,,,,,,2
,SABX,1,,,,,,,69,1,71
,SRPH,13,,2,3,1,,,7,5,31
