Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Education,BIED,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,,,,,
,EDAD,,,,,,,,,,1,1,,,1
,EDCI,,,,,,,,2,2,2,2,,,4
,EDHL,,,,,,,,,,,,,,
,EDIS,,,,,,,,,,,,,,
,EDKI,,,,,,,,,,,,,,
,EDSM,,,,,,,,,,,,,,
,EDTC,,,,,,,,,,,,,,
,EHRD,,,,,,,,,,,,,,
,EPSY,,,,,,,,1,1,1,1,,,2
,HEED,,,,,,,,,,,,,,
,HLTH,,,,,,,,,,,,,,
,HRDL,,,,,,,,,,,,,,
,HRDV,,,,,,,,,,,,,,
,INST,,,,1,,1,,,,,,,,1
,KINE,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,
,SPMT,,,,,,,,,,,,,,
,SPSY,,,,,,,,,,,,,,
,TCMG,,,,,,,,,,,,,,
,TCML,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,
,Subtotal,,,,1,,1,,3,3,4,4,,,8
