Spring 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,4,15,19,,1,1,1,,1,,5,5,,1,1,,7,7,5,29,34,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,4,12,16,,1,1,1,,1,,4,4,,1,1,,7,7,5,25,30,
,22-25,,2,2,,,,,,,,1,1,,,,,,,,3,3,
,26-30,,1,1,,,,,,,,,,,,,,,,,1,1,
,Freshman,4,15,19,,1,1,1,,1,,4,4,,1,1,,6,6,5,27,32,
,Sophomore,,,,,,,,,,,,,,,,,1,1,,1,1,
,Junior,,,,,,,,,,,1,1,,,,,,,,1,1,
,Resident Tuition,4,13,17,,1,1,1,,1,,5,5,,1,1,,,,5,20,25,
,Non-Resident  Tuition,,1,1,,,,,,,,,,,,,,7,7,,8,8,
,Tuition,,1,1,,,,,,,,,,,,,,,,,1,1,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,4,14,18,,1,1,1,,1,,5,5,,1,1,,,,5,21,26,
,"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,1,1,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,7,7,,7,7,
,Resident,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,1,1,,,,,,,,,,,,,,,,,1,1,
,12-14 SCH,2,11,13,,1,1,1,,1,,3,3,,1,1,,7,7,3,23,26,
,15-17 SCH,2,3,5,,,,,,,,2,2,,,,,,,2,5,7,
,Half-Time,,1,1,,,,,,,,,,,,,,,,,1,1,
,Full-Time,4,14,18,,1,1,1,,1,,5,5,,1,1,,7,7,5,28,33,
,No,1,11,12,,,,1,,1,,1,1,,,,,7,7,2,19,21,
,Yes,3,4,7,,1,1,,,,,4,4,,1,1,,,,3,10,13,
,No,3,14,17,,,,1,,1,,3,3,,,,,,,4,17,21,
,Unknown,,,,,,,,,,,,,,,,,7,7,,7,7,
,Yes,1,1,2,,1,1,,,,,2,2,,1,1,,,,1,5,6,
,1.00,2,9,11,,,,1,,1,,2,2,,,,,4,4,3,15,18,
,2.00,2,6,8,,1,1,,,,,3,3,,1,1,,3,3,2,14,16,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,
