Demographic Summary for Blinn TEAM Students (College Station Campus),,,,,,
Spring 2012,,U1: Freshmen,U2: Sophomore,U3: Junior,Grand Total,
Headcount Total,,577,216,7,800,
"Gender Ethnicity
TAMU Age
Categories
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
First Generation",Female,266,109,1,376,
,Male,311,107,6,424,
,White Only (NEW),452,173,2,627,
,American Indian Only (NEW),1,,,1,
,Asian Only (NEW),6,6,,12,
,Black Only + 2 or more/1 Black (NEW),8,5,,13,
,Hispanic or Latino of any Race (NEW),93,25,4,122,
,Native Hawaii Only (New),1,1,,2,
,2 or More/Excluding Black (NEW),15,6,1,22,
,Unknown or Not Reported,1,,,1,
,18-21,576,215,7,798,
,22-25,1,1,,2,
,Continuing,577,216,7,800,
,Resident Tuition,554,210,7,771,
,Non-Resident Tuition,7,1,,8,
,Tuition Exemption/Waiver,16,5,,21,
,Texas Resident,564,214,7,785,
,"Non-TX, US Resident",12,2,,14,
,"Non-TX, Non-US Resident",1,,,1,
,< 6 SCH,489,186,5,680,
,6-8 SCH,88,30,2,120,
,Less Than Half Time,489,186,5,680,
,Half-Time,88,30,2,120,
,No,450,160,6,616,
,Unknown,8,5,,13,
,Yes,119,51,1,171,
"Prepared by DARS, 20 Jun 12",,,,,,
