Spring 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,45,15,60,,,,1,1,2,,2,5,9,14,,,1,,1,,,,,,,53,25,78,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,33,11,44,,,,1,1,2,,2,3,7,10,,,,,,,,,,,,38,19,57,
,22-25,9,1,10,,,,,,,,,2,2,4,,,1,,1,,,,,,,12,3,15,
,26-30,1,3,4,,,,,,,,,,,,,,,,,,,,,,,1,3,4,
,31-39,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,40+,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,Freshman,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,Sophomore,19,5,24,,,,1,1,2,,2,2,3,5,,,,,,,,,,,,23,9,32,
,Junior,21,9,30,,,,,,,,,3,6,9,,,,,,,,,,,,24,15,39,
,Senior,4,1,5,,,,,,,,,,,,,,1,,1,,,,,,,5,1,6,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,44,14,58,,,,1,1,2,,2,3,9,12,,,1,,1,,,,,,,50,24,74,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuition,1,1,2,,,,,,,,,2,,2,,,,,,,,,,,,3,1,4,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,45,15,60,,,,1,1,2,,2,5,9,14,,,1,,1,,,,,,,53,25,78,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,
,9-11 SCH,1,2,3,,,,,,,,,,1,1,,,,,,,,,,,,1,3,4,
,12-14 SCH,18,10,28,,,,1,1,1,,1,3,5,8,,,1,,1,,,,,,,23,16,39,
,15-17 SCH,25,,25,,,,,,1,,1,2,3,5,,,,,,,,,,,,28,3,31,
,>17 SCH,1,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,1,4,5,,,,,,,,,,1,1,,,,,,,,,,,,1,5,6,
,Full-Time,44,11,55,,,,1,1,2,,2,5,8,13,,,1,,1,,,,,,,52,20,72,
,No,40,15,55,,,,1,1,2,,2,4,9,13,,,1,,1,,,,,,,47,25,72,
,Yes,5,,5,,,,,,,,,1,,1,,,,,,,,,,,,6,,6,
,No,28,10,38,,,,1,1,2,,2,4,8,12,,,1,,1,,,,,,,35,19,54,
,Unknown,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,Yes,16,5,21,,,,,,,,,1,1,2,,,,,,,,,,,,17,6,23,
,1.00,45,15,60,,,,1,1,2,,2,5,9,14,,,1,,1,,,,,,,53,25,78,
,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
