Spring 2012,,Undergraduate,,,,Masters,,,,PhD,,,Profession al,Total,
,,1st Time in College,1st Time Transfer,Readmitte d,Continuing,1st Time PB,1st Time Graduate,Readmitte d,Continuing,1st Time Graduate,Readmitte d,Continuing,Continuing,,
"Veterinary             CLVM
Medicine      VIBS VLCS VSCS VTPB VTPP
Subtotal",,7,1,1,"1,509",,1,,14,,,4,520,"2,057",
,,,,,,,,,18,,,22,,40,
,,,,,,1,,,10,,,1,,12,
,,,,,,,1,,2,,,6,,9,
,,,,,,,,,18,,,26,,44,
,,,,,,,,,12,1,,19,,32,
,,7,1,1,"1,509",1,2,,74,1,,78,520,"2,194",
"General Studies
Other - Special Populations
University",GEST,11,22,31,"3,918",,,,,,,,,"3,982",
,"Subtotal CLMD MARS SABX SRPH
Subtotal Total",11,22,31,"3,918",,,,,,,,,"3,982",
,,,,,,1,,,6,,,,,7,
,,,,,,,,,2,,,,,2,
,,,,,62,,,,9,,,,,71,
,,,,,,16,,,15,,,,,31,
,,,,,62,17,,,32,,,,,111,
,,103,673,245,36134,116,388,22,4431,125,10,3851,520,46618,
"Prepared by DARS, 19 Jun 12",,,,,,,,,,,,,,,
