Fall 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,134",5.2%,344,-1.7%,392,7.4%,,,"2,870",4.6%,
Gender,Female,"1,224",1.9%,155,-7.7%,106,12.8%,,,"1,485",1.5%,
,Male,910,9.9%,189,3.8%,286,5.5%,,,"1,385",8.1%,
Ethnicity,White,"1,543",2.9%,180,2.3%,128,4.1%,,,"1,851",2.9%,
,Black,76,13.4%,10,42.9%,3,-25.0%,,,89,14.1%,
,Hispanic,285,10.9%,26,4.0%,20,100.0%,,,331,13.4%,
,Asian,196,20.2%,14,0.0%,17,112.5%,,,227,22.7%,
,American Indian,11,-8.3%,3,200.0%,2,0.0%,,,16,6.7%,
,International,18,-14.3%,107,-10.8%,216,0.0%,,,341,-4.5%,
,Unknown/Other,5,-44.4%,4,-42.9%,6,200.0%,,,15,-16.7%,
TAMU Age,<18,17,30.8%,,,,,,,17,30.8%,
Categories,18-21,"1,769",5.5%,11,450.0%,1,100.0%,,,"1,781",6.1%,
,22-25,318,1.6%,177,-2.7%,76,40.7%,,,571,4.0%,
,26-30,21,0.0%,97,1.0%,183,-4.2%,,,301,-2.3%,
,31-39,8,33.3%,38,-5.0%,117,10.4%,,,163,7.2%,
,40+,1,100.0%,21,-30.0%,15,7.1%,,,37,-15.9%,
Enrollment,1st Time in College,644,1.4%,,,,,,,644,1.4%,
Status,1st Time PB,3,100.0%,14,0.0%,,,,,17,21.4%,
,1st Time Graduate,,,144,5.1%,30,20.0%,,,174,7.4%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,76,-16.5%,,,,,,,76,-16.5%,
,Readmitted,8,-20.0%,,,1,100.0%,,,9,-10.0%,
,Continuing,"1,403",8.5%,186,-6.5%,361,6.2%,,,"1,950",6.4%,
Tuition,Resident Tuition,"1,997",4.7%,135,-2.9%,75,19.0%,,,"2,207",4.6%,
Status,Non-Resident Tuition,37,-38.3%,13,-31.6%,35,-12.5%,,,85,-28.6%,
,Tuition  Exemption/Waiver,100,63.9%,196,2.1%,282,7.6%,,,578,12.2%,
Residency,Texas Resident,"2,032",6.4%,139,0.0%,80,21.2%,,,"2,251",6.4%,
Status,"Non-TX, US Resident",81,-12.9%,97,7.8%,88,10.0%,,,266,1.1%,
,"Non-TX, Non-US Resident",21,-19.2%,108,-10.7%,224,2.3%,,,353,-3.6%,
SCH,< 6 SCH,17,142.9%,39,-17.0%,20,-16.7%,,,76,-2.6%,
Categories,6-8 SCH,38,26.7%,20,25.0%,2,0.0%,,,60,25.0%,
,9-11 SCH,78,20.0%,274,-1.1%,366,8.0%,,,718,5.4%,
,12-14 SCH,"1,072",-22.1%,11,22.2%,3,100.0%,,,"1,086",-21.6%,
,15-17 SCH,885,69.9%,0,-100.0%,1,100.0%,,,886,69.7%,
,>17 SCH,44,51.7%,,,,,,,44,51.7%,
Ft/Pt:,Less Than Half Time,13,225.0%,27,-37.2%,17,-22.7%,,,57,-17.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","35
69","20.7%
6.2%",29,45.0%,3,0.0%,,,"67
69","28.8%
6.2%",
,Full-Time,"2,017",4.5%,288,0.3%,372,9.4%,,,"2,677",4.7%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,
