Fall 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,323",2.6%,336,-12.3%,103,-3.7%,,,"1,762",-1.0%,
Gender,Female,395,-0.3%,121,-17.7%,35,6.1%,,,551,-4.3%,
,Male,928,3.9%,215,-8.9%,68,-8.1%,,,"1,211",0.7%,
Ethnicity,White,"1,103",1.0%,175,-3.3%,24,-4.0%,,,"1,302",0.3%,
,Black,17,21.4%,9,80.0%,1,0.0%,,,27,35.0%,
,Hispanic,148,20.3%,23,0.0%,3,50.0%,,,174,17.6%,
,Asian,36,9.1%,17,21.4%,1,0.0%,,,54,12.5%,
,American Indian,6,-25.0%,,,,,,,6,-25.0%,
,International,8,-27.3%,106,-30.7%,72,-5.3%,,,186,-22.5%,
,Unknown/Other,5,-37.5%,6,-14.3%,2,0.0%,,,13,-23.5%,
TAMU Age,<18,2,100.0%,,,,,,,2,100.0%,
Categories,18-21,802,4.4%,0,-100.0%,,,,,802,4.3%,
,22-25,465,-3.5%,146,-18.0%,2,100.0%,,,613,-7.3%,
,26-30,35,52.2%,130,-9.7%,31,0.0%,,,196,-1.0%,
,31-39,13,30.0%,48,-9.4%,48,-5.9%,,,109,-4.4%,
,40+,6,20.0%,12,71.4%,22,-8.3%,,,40,11.1%,
Enrollment,1st Time in College,164,-4.1%,,,,,,,164,-4.1%,
Status,1st Time PB,1,100.0%,3,0.0%,,,,,4,33.3%,
,1st Time Graduate,,,110,-4.3%,8,-46.7%,,,118,-9.2%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,72,20.0%,,,,,,,72,20.0%,
,Readmitted,12,200.0%,0,-100.0%,0,-100.0%,,,12,100.0%,
,Continuing,"1,074",1.9%,223,-15.5%,95,4.4%,,,"1,392",-1.2%,
Tuition,Resident Tuition,"1,269",2.7%,186,-4.1%,26,-7.1%,,,"1,481",1.6%,
Status,Non-Resident Tuition,23,-20.7%,23,-54.0%,18,-21.7%,,,64,-37.3%,
,Tuition  Exemption/Waiver,31,29.2%,127,-8.6%,59,5.4%,,,217,-0.9%,
Residency,Texas Resident,"1,282",3.8%,190,-2.1%,27,0.0%,,,"1,499",3.0%,
Status,"Non-TX, US Resident",33,-23.3%,40,14.3%,4,33.3%,,,77,-4.9%,
,"Non-TX, Non-US Resident",8,-27.3%,106,-31.2%,72,-6.5%,,,186,-23.1%,
SCH,< 6 SCH,11,22.2%,34,-20.9%,27,0.0%,,,72,-8.9%,
Categories,6-8 SCH,96,-12.7%,18,20.0%,1,-80.0%,,,115,-11.5%,
,9-11 SCH,61,-7.6%,101,-25.2%,73,0.0%,,,235,-14.2%,
,12-14 SCH,667,-21.0%,146,-2.0%,2,0.0%,,,815,-18.1%,
,15-17 SCH,449,76.1%,37,-7.5%,,,,,486,64.7%,
,>17 SCH,39,680.0%,0,-100.0%,,,,,39,550.0%,
Ft/Pt:,Less Than Half Time,11,22.2%,27,-22.9%,20,-20.0%,,,58,-15.9%,
"TAMU
Status","Half-Time
Three-Quarter Time","42
61","-58.8%
-3.2%",24,20.0%,7,0.0%,,,"73
61","-43.4%
-3.2%",
,Full-Time,"1,209",8.4%,285,-13.1%,76,1.3%,,,"1,570",3.4%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,
