Fall 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,173",-0.2%,538,-20.3%,452,-16.8%,,,"6,163",-3.7%,
Gender,Female,"2,434",2.1%,269,-19.5%,183,-19.7%,,,"2,886",-2.0%,
,Male,"2,739",-2.1%,269,-21.1%,269,-14.6%,,,"3,277",-5.1%,
Ethnicity,White,"4,341",-2.1%,378,-16.9%,211,-15.6%,,,"4,930",-4.0%,
,Black,144,28.6%,15,15.4%,8,0.0%,,,167,25.6%,
,Hispanic,465,9.2%,39,5.4%,14,-17.6%,,,518,7.9%,
,Asian,107,21.6%,2,-75.0%,8,-50.0%,,,117,4.5%,
,American Indian,44,2.3%,3,200.0%,1,100.0%,,,48,9.1%,
,International,50,28.2%,90,-38.4%,206,-16.9%,,,346,-20.1%,
,Unknown/Other,22,-45.0%,11,-26.7%,4,0.0%,,,37,-37.3%,
TAMU Age,<18,3,-62.5%,,,,,,,3,-62.5%,
Categories,18-21,"2,928",-0.8%,2,-66.7%,,,,,"2,930",-0.9%,
,22-25,"2,009",0.7%,295,-15.7%,26,-27.8%,,,"2,330",-2.1%,
,26-30,158,10.5%,157,-23.4%,191,-14.0%,,,506,-11.2%,
,31-39,45,-2.2%,66,-22.4%,159,-16.8%,,,270,-16.1%,
,40+,30,-21.1%,18,-37.9%,76,-19.1%,,,124,-23.0%,
Enrollment,1st Time in College,433,-15.3%,,,,,,,433,-15.3%,
Status,1st Time PB,4,-42.9%,18,28.6%,,,,,22,4.8%,
,1st Time Graduate,,,174,-14.3%,41,-24.1%,,,215,-16.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,316,4.3%,,,,,,,316,4.3%,
,Readmitted,140,20.7%,1,-87.5%,3,0.0%,,,144,13.4%,
,Continuing,"4,280",0.8%,345,-23.3%,408,-16.0%,,,"5,033",-2.8%,
Tuition,Resident Tuition,"4,876",-1.5%,337,-14.7%,153,-19.9%,,,"5,366",-3.0%,
Status,Non-Resident Tuition,105,2.9%,42,-28.8%,61,-15.3%,,,208,-10.7%,
,Tuition  Exemption/Waiver,192,46.6%,159,-28.1%,238,-15.0%,,,589,-6.8%,
Residency,Texas Resident,"4,935",-0.5%,344,-13.6%,162,-16.5%,,,"5,441",-2.0%,
Status,"Non-TX, US Resident",184,4.0%,104,-20.6%,84,-14.3%,,,372,-8.4%,
,"Non-TX, Non-US Resident",54,28.6%,90,-38.4%,206,-17.9%,,,350,-20.3%,
SCH,< 6 SCH,79,-6.0%,113,-29.8%,92,-19.3%,,,284,-20.9%,
Categories,6-8 SCH,198,6.5%,52,23.8%,23,-36.1%,,,273,3.4%,
,9-11 SCH,324,6.9%,343,-21.3%,328,-13.5%,,,995,-11.0%,
,12-14 SCH,"2,148",-31.8%,29,-17.1%,8,-27.3%,,,"2,185",-31.7%,
,15-17 SCH,"2,236",65.9%,1,0.0%,1,-50.0%,,,"2,238",65.7%,
,>17 SCH,188,72.5%,,,0,-100.0%,,,188,70.9%,
Ft/Pt:,Less Than Half Time,71,-9.0%,96,-22.6%,74,-24.5%,,,241,-19.7%,
"TAMU
Status","Half-Time
Three-Quarter Time","180
322","4.7%
7.0%",64,-15.8%,40,-23.1%,,,"284
322","-5.3%
7.0%",
,Full-Time,"4,600",-0.6%,378,-20.4%,338,-14.0%,,,"5,316",-3.3%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,
