"Fall 2005
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
26-30
Classification                  Freshman Sophomore Junior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,,,Black,,,,,Hispanic,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,,Tot,F,,M,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,,M,,Tot,,
,,60,,71,131,,1,,4,5,,9,14,23,,3,,1,4,,,,,1,1,,,,,73,,91,,164,
,,1,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,2,,,,2,
,,59,,71,130,,1,,4,5,,9,14,23,,2,,1,3,,,,,1,1,,,,,71,,91,,162,
,,57,,71,128,,1,,4,5,,9,14,23,,3,,1,4,,,,,,,,,,,70,,90,,160,
,,3,,,3,,,,,,,,,,,,,,,,,,,1,1,,,,,3,,1,,4,
,,60,,64,124,,1,,3,4,,9,14,23,,3,,1,4,,,,,1,1,,,,,73,,83,,156,
,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,
,,60,,68,128,,1,,4,5,,9,14,23,,3,,1,4,,,,,,,,,,,73,,87,,160,
,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,
,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,46,,39,85,,,,3,3,,8,10,18,,3,,1,4,,,,,1,1,,,,,57,,54,,111,
,,13,,32,45,,1,,1,2,,1,4,5,,,,,,,,,,,,,,,,15,,37,,52,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,59,,71,130,,1,,4,5,,9,14,23,,3,,1,4,,,,,1,1,,,,,72,,91,,163,
,,12,,32,44,,,,3,3,,1,5,6,,2,,,2,,,,,1,1,,,,,15,,41,,56,
,,48,,39,87,,1,,1,2,,8,9,17,,1,,1,2,,,,,,,,,,,58,,50,,108,
,,49,,58,107,,,,4,4,,2,9,11,,2,,,2,,,,,1,1,,,,,53,,72,,125,
,,11,,13,24,,1,,,1,,7,5,12,,1,,1,2,,,,,,,,,,,20,,19,,39,
,,13,,21,34,,,,,,,1,3,4,,,,1,1,,,,,1,1,,,,,14,,26,,40,
,,47,,50,97,,1,,4,5,,8,11,19,,3,,,3,,,,,,,,,,,59,,65,,124,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
