Fall 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,827",-3.9%,,,,,,,"3,827",-3.9%,
Gender,Female,"1,713",-3.5%,,,,,,,"1,713",-3.5%,
,Male,"2,114",-4.2%,,,,,,,"2,114",-4.2%,
Ethnicity,White,"2,985",-5.1%,,,,,,,"2,985",-5.1%,
,Black,127,-4.5%,,,,,,,127,-4.5%,
,Hispanic,543,1.7%,,,,,,,543,1.7%,
,Asian,131,4.0%,,,,,,,131,4.0%,
,American Indian,19,-5.0%,,,,,,,19,-5.0%,
,International,17,30.8%,,,,,,,17,30.8%,
,Unknown/Other,5,-50.0%,,,,,,,5,-50.0%,
TAMU Age,<18,10,-47.4%,,,,,,,10,-47.4%,
Categories,18-21,"3,746",-3.0%,,,,,,,"3,746",-3.0%,
,22-25,59,-28.0%,,,,,,,59,-28.0%,
,26-30,7,-36.4%,,,,,,,7,-36.4%,
,31-39,5,-16.7%,,,,,,,5,-16.7%,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,"1,502",-14.1%,,,,,,,"1,502",-14.1%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,110,-3.5%,,,,,,,110,-3.5%,
,Readmitted,64,-25.6%,,,,,,,64,-25.6%,
,Continuing,"2,151",5.9%,,,,,,,"2,151",5.9%,
Tuition,Resident Tuition,"3,668",-4.5%,,,,,,,"3,668",-4.5%,
Status,Non-Resident Tuition,79,-4.8%,,,,,,,79,-4.8%,
,Tuition  Exemption/Waiver,80,40.4%,,,,,,,80,40.4%,
Residency,Texas Resident,"3,704",-3.9%,,,,,,,"3,704",-3.9%,
Status,"Non-TX, US Resident",104,-7.1%,,,,,,,104,-7.1%,
,"Non-TX, Non-US Resident",19,26.7%,,,,,,,19,26.7%,
SCH,< 6 SCH,599,6.4%,,,,,,,599,6.4%,
Categories,6-8 SCH,54,-6.9%,,,,,,,54,-6.9%,
,9-11 SCH,55,-36.8%,,,,,,,55,-36.8%,
,12-14 SCH,"1,790",-33.8%,,,,,,,"1,790",-33.8%,
,15-17 SCH,"1,310",131.9%,,,,,,,"1,310",131.9%,
,>17 SCH,19,375.0%,,,,,,,19,375.0%,
Ft/Pt:,Less Than Half Time,598,6.4%,,,,,,,598,6.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","54
55","-6.9%
-36.0%",,,,,,,"54
55","-6.9%
-36.0%",
,Full-Time,"3,120",-4.7%,,,,,,,"3,120",-4.7%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,
