"Fall 2005
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
26-30
Classification                  Freshman Sophomore Junior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,Black,,,,Hispanic,,,,Asian,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,
,F,M,Tot,F,,M,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,M,To,t,
,205,"1,020","1,225",,21,48,69,,65,160,225,16,51,67,1,7,8,6,19,25,,1,,1,314,"1,306",,"1,620",
,1,5,6,,,4,4,,2,3,5,2,5,7,,,,1,3,4,,,,,6,20,,26,
,204,"1,014","1,218",,21,44,65,,63,156,219,14,46,60,1,7,8,5,14,19,,1,,1,308,"1,282",,"1,590",
,,1,1,,,,,,,,,,,,,,,,2,2,,,,,,3,,3,
,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,1,
,183,932,"1,115",,21,46,67,,61,149,210,12,46,58,1,7,8,6,17,23,,1,,1,284,"1,198",,"1,482",
,18,84,102,,,2,2,,4,11,15,4,5,9,,,,,2,2,,,,,26,104,,130,
,4,4,8,,,,,,,,,,,,,,,,,,,,,,4,4,,8,
,181,916,"1,097",,20,45,65,,63,154,217,14,46,60,,7,7,1,3,4,,1,,1,279,"1,172",,"1,451",
,4,15,19,,,1,1,,,3,3,2,1,3,1,,1,5,13,18,,,,,12,33,,45,
,20,89,109,,1,2,3,,2,3,5,,4,4,,,,,3,3,,,,,23,101,,124,
,195,951,"1,146",,21,45,66,,65,158,223,14,47,61,,7,7,,,,,1,,1,295,"1,209",,"1,504",
,10,68,78,,,3,3,,,2,2,2,4,6,1,,1,,,,,,,,13,77,,90,
,,1,1,,,,,,,,,,,,,,,6,19,25,,,,,6,20,,26,
,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,
,,3,3,,,,,,,,,,,,,,,,,,,,,,,3,,3,
,113,605,718,,11,26,37,,33,104,137,4,24,28,1,5,6,2,7,9,,1,,1,164,772,,936,
,91,406,497,,10,21,31,,32,55,87,11,27,38,,2,2,3,12,15,,,,,147,523,,670,
,,5,5,,,1,1,,,1,1,1,,1,,,,1,,1,,,,,2,7,,9,
,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,
,,3,3,,,,,,,,,,,,,,,,,,,,,,,3,,3,
,204,"1,016","1,220",,21,48,69,,65,160,225,16,51,67,1,7,8,6,19,25,,1,,1,313,"1,302",,"1,615",
,64,549,613,,7,20,27,,16,57,73,8,34,42,1,3,4,6,16,22,,1,,1,102,680,,782,
,141,471,612,,14,28,42,,49,103,152,8,17,25,,4,4,,3,3,,,,,212,626,,838,
,172,826,998,,6,26,32,,33,61,94,11,36,47,1,4,5,1,3,4,,1,,1,224,957,,"1,181",
,3,7,10,,,2,2,,3,,3,,,,,,,5,14,19,,,,,11,23,,34,
,30,187,217,,15,20,35,,29,99,128,5,15,20,,3,3,,2,2,,,,,79,326,,405,
,46,218,264,,1,9,10,,2,21,23,4,9,13,,,,2,3,5,,,,,55,260,,315,
,159,802,961,,20,39,59,,63,139,202,12,42,54,1,7,8,4,16,20,,1,,1,259,"1,046",,"1,305",
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
