Fall 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"4,058",0.9%,764,0.8%,64,-13.5%,,,"4,886",0.7%,
Gender,Female,"2,207",0.3%,294,-3.0%,25,-26.5%,,,"2,526",-0.5%,
,Male,"1,851",1.8%,470,3.3%,39,-2.5%,,,"2,360",2.0%,
Ethnicity,White,"3,477",-0.6%,523,-1.9%,30,3.4%,,,"4,030",-0.8%,
,Black,76,10.1%,21,0.0%,1,-50.0%,,,98,6.5%,
,Hispanic,313,21.3%,42,27.3%,2,-50.0%,,,357,21.0%,
,Asian,139,6.1%,22,-31.3%,1,100.0%,,,162,-0.6%,
,American Indian,18,5.9%,1,0.0%,,,,,19,5.6%,
,International,27,0.0%,138,6.2%,28,-24.3%,,,193,-0.5%,
,Unknown/Other,8,-57.9%,17,112.5%,2,0.0%,,,27,-6.9%,
TAMU Age,<18,9,80.0%,,,,,,,9,80.0%,
Categories,18-21,"3,255",1.1%,18,-33.3%,1,100.0%,,,"3,274",0.8%,
,22-25,752,-0.4%,459,4.3%,1,-80.0%,,,"1,212",1.0%,
,26-30,17,-10.5%,149,0.0%,26,-16.1%,,,192,-3.5%,
,31-39,13,18.2%,94,-1.1%,27,8.0%,,,134,2.3%,
,40+,12,20.0%,44,-6.4%,9,-30.8%,,,65,-7.1%,
Enrollment,1st Time in College,807,5.6%,,,,,,,807,5.6%,
Status,1st Time PB,1,0.0%,2,-66.7%,,,,,3,-57.1%,
,1st Time Graduate,,,457,1.8%,11,10.0%,,,468,2.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,98,60.7%,,,,,,,98,60.7%,
,Readmitted,20,0.0%,1,100.0%,,,,,21,5.0%,
,Continuing,"3,132",-1.3%,304,0.3%,53,-17.2%,,,"3,489",-1.5%,
Tuition,Resident Tuition,"3,933",0.5%,565,-3.3%,14,-22.2%,,,"4,512",-0.1%,
Status,Non-Resident Tuition,45,-8.2%,44,7.3%,3,-62.5%,,,92,-6.1%,
,Tuition  Exemption/Waiver,80,42.9%,155,16.5%,47,-2.1%,,,282,19.0%,
Residency,Texas Resident,"3,960",1.1%,571,-1.2%,18,-18.2%,,,"4,549",0.7%,
Status,"Non-TX, US Resident",69,-6.8%,55,10.0%,17,13.3%,,,141,1.4%,
,"Non-TX, Non-US Resident",29,0.0%,138,6.2%,29,-21.6%,,,196,0.0%,
SCH,< 6 SCH,22,-35.3%,8,-42.9%,4,-66.7%,,,34,-43.3%,
Categories,6-8 SCH,74,4.2%,17,6.3%,1,100.0%,,,92,5.7%,
,9-11 SCH,135,-6.3%,242,12.6%,59,-4.8%,,,436,3.6%,
,12-14 SCH,"2,205",-14.7%,223,2.8%,,,,,"2,428",-13.3%,
,15-17 SCH,"1,574",37.9%,191,-7.7%,,,,,"1,765",30.9%,
,>17 SCH,48,4.3%,83,-6.7%,,,,,131,-3.0%,
Ft/Pt:,Less Than Half Time,18,-21.7%,8,-38.5%,3,-70.0%,,,29,-37.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","74
135","4.2%
-4.3%",17,6.3%,2,100.0%,,,"93
135","5.7%
-4.3%",
,Full-Time,"3,831",1.2%,739,1.4%,59,-6.3%,,,"4,629",1.1%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,
