Office of Institutional Studies and Planning,,,,,,
Katrina Students,,,,,,
(Not included in University Total Enrollment) Fall 2005,,,,,,
Official Certified 12th Class Day Data,,,,,,
Fall 2005,,Undergra duate,Masters,PhD,Grand Total,
Head Count,Total,302,22,8,332,
College,Agriculture,3,,1,4,
,Architecture,9,4,,13,
Business Admin,,90,5,,95,
,Education,13,2,,15,
Engineering,,46,1,2,49,
,G. Bush School of Govt,,2,,2,
Geosciences,,1,,,1,
,Liberal Arts,70,2,,72,
Science,,21,6,5,32,
,Veterinary Medicine,19,,,19,
General Studies,,27,,,27,
,Other - Special Populations,3,,,3,
SCH,6-8 SCH,1,2,1,4,
Categories,9-11 SCH,25,16,7,48,
12-14 SCH,,167,3,,170,
,15-17 SCH,102,1,,103,
>17 SCH,,7,,,7,
"Prepared by OISP, 02 Dec 05",,,,,,
