Fall 2005,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,33,0.0%,1,0.0%,6,100.0%,1,100.0%,2,100.0%,20,-13.0%,3,50.0%,58,-1.7%,
,ENGS,38,46.2%,,,,,4,33.3%,,,,,,,48,50.0%,
,ENST,28,-6.7%,0,-100.0%,4,0.0%,,,,,1,0.0%,,,33,-8.3%,
,ESCI,1,-50.0%,,,,,,,,,,,,,1,-50.0%,
,GEOG,136,2.3%,4,100.0%,15,-21.1%,2,0.0%,,,20,-4.8%,2,-33.3%,181,0.6%,
,GEOL,120,-4.8%,,,10,42.9%,3,200.0%,,,28,3.7%,2,-33.3%,163,-0.6%,
,GEOP,24,-7.7%,1,0.0%,0,-100.0%,1,-50.0%,1,0.0%,22,4.8%,,,49,-5.8%,
,GEOS,3,50.0%,,,,,,,,,,,,,3,50.0%,
,METR,128,-4.5%,,,17,30.8%,4,100.0%,0,-100.0%,0,-100.0%,,,149,-1.3%,
,OCNG,42,-6.7%,,,2,-33.3%,1,100.0%,,,20,-20.0%,,,65,-11.0%,
,SPSG,,,,,,,,,1,100.0%,,,,,1,100.0%,
,Subtotal,553,-0.7%,6,20.0%,54,8.0%,16,60.0%,4,100.0%,111,-6.7%,7,-12.5%,751,0.0%,
Liberal Arts,AMST,23,-4.2%,2,100.0%,4,-20.0%,0,-100.0%,,,,,,,29,-3.3%,
,ANTH,188,1.1%,,,16,-11.1%,3,0.0%,0,-100.0%,16,6.7%,4,0.0%,227,0.0%,
,COML,3,200.0%,,,0,-100.0%,,,,,2,-33.3%,,,5,0.0%,
,ECON,410,-10.3%,10,-23.1%,62,-18.4%,26,-3.7%,0,-100.0%,85,-11.5%,4,-42.9%,597,-11.9%,
,ENGL,678,5.1%,28,33.3%,60,22.4%,16,60.0%,5,-16.7%,28,7.7%,5,-37.5%,820,7.2%,
,FREN,12,33.3%,1,0.0%,3,50.0%,1,0.0%,,,,,,,17,30.8%,
,GERM,6,-33.3%,,,1,-50.0%,0,-100.0%,,,,,,,7,-41.7%,
,HISP,6,100.0%,,,9,50.0%,,,,,1,100.0%,,,16,77.8%,
,HIST,670,5.2%,13,85.7%,63,23.5%,9,80.0%,2,0.0%,4,0.0%,10,-23.1%,771,7.2%,
,INTS,294,6.1%,10,0.0%,81,12.5%,12,33.3%,5,25.0%,3,-40.0%,1,-75.0%,406,6.6%,
,JOUR,40,-67.2%,2,-33.3%,2,-83.3%,1,-50.0%,,,0,-100.0%,1,-50.0%,46,-67.6%,
,MODL,4,-20.0%,,,3,-50.0%,,,,,0,-100.0%,,,7,-46.2%,
,MUSC,21,5.0%,2,-33.3%,4,0.0%,,,,,,,,,27,0.0%,
,PHIL,104,-10.3%,4,100.0%,10,-52.4%,4,-20.0%,,,4,-20.0%,3,0.0%,129,-15.1%,
,POLS,837,-2.4%,27,-10.0%,128,18.5%,25,4.2%,5,0.0%,18,-5.3%,4,-20.0%,"1,044",-0.5%,
,PSYC,989,-9.8%,48,-17.2%,187,12.7%,35,6.1%,7,-12.5%,11,-42.1%,6,-33.3%,"1,283",-7.7%,
,RUSS,5,150.0%,,,0,-100.0%,1,100.0%,,,,,1,0.0%,7,75.0%,
,SCOM,685,1.6%,14,40.0%,61,-3.2%,7,16.7%,1,-66.7%,9,0.0%,4,-33.3%,781,1.3%,
,SOCI,276,-0.4%,27,22.7%,64,30.6%,15,50.0%,3,50.0%,19,11.8%,2,-33.3%,406,6.8%,
,SPAN,71,6.0%,0,-100.0%,36,9.1%,1,100.0%,,,1,100.0%,,,109,7.9%,
,STJR,2,-71.4%,0,-100.0%,,,,,,,2,-60.0%,,,4,-69.2%,
,TCMS,105,98.1%,3,200.0%,15,400.0%,3,-40.0%,1,0.0%,3,200.0%,,,130,103.1%,
,THAR,54,-26.0%,1,0.0%,11,-15.4%,,,,,,,,,66,-24.1%,
,Subtotal,"5,483",-2.4%,192,4.3%,820,7.8%,159,12.0%,29,-14.7%,206,-9.3%,45,-30.8%,"6,934",-1.4%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,,,,
