Fall 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,200,7.0%,,,,,200,7.0%,
Gender,Female,,,84,9.1%,,,,,84,9.1%,
,Male,,,116,5.5%,,,,,116,5.5%,
Ethnicity,White,,,151,9.4%,,,,,151,9.4%,
,Black,,,8,0.0%,,,,,8,0.0%,
,Hispanic,,,23,21.1%,,,,,23,21.1%,
,Asian,,,3,-40.0%,,,,,3,-40.0%,
,American Indian,,,1,0.0%,,,,,1,0.0%,
,International,,,13,0.0%,,,,,13,0.0%,
,Unknown/Other,,,1,-66.7%,,,,,1,-66.7%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,2,100.0%,,,,,2,100.0%,
,22-25,,,102,10.9%,,,,,102,10.9%,
,26-30,,,59,25.5%,,,,,59,25.5%,
,31-39,,,25,-19.4%,,,,,25,-19.4%,
,40+,,,12,-25.0%,,,,,12,-25.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,35,-14.6%,,,,,35,-14.6%,
,1st Time Graduate,,,71,14.5%,,,,,71,14.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,94,11.9%,,,,,94,11.9%,
Tuition,Resident Tuition,,,136,0.7%,,,,,136,0.7%,
Status,Non-Resident Tuition,,,5,0.0%,,,,,5,0.0%,
,Tuition  Exemption/Waiver,,,59,25.5%,,,,,59,25.5%,
Residency,Texas Resident,,,148,8.8%,,,,,148,8.8%,
Status,"Non-TX, US Resident",,,37,2.8%,,,,,37,2.8%,
,"Non-TX, Non-US Resident",,,15,0.0%,,,,,15,0.0%,
SCH,< 6 SCH,,,45,-2.2%,,,,,45,-2.2%,
Categories,6-8 SCH,,,17,-34.6%,,,,,17,-34.6%,
,9-11 SCH,,,18,38.5%,,,,,18,38.5%,
,12-14 SCH,,,117,17.0%,,,,,117,17.0%,
,15-17 SCH,,,3,50.0%,,,,,3,50.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,44,-2.2%,,,,,44,-2.2%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,18,-33.3%,,,,,18,-33.3%,
,Full-Time,,,138,20.0%,,,,,138,20.0%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,
