"Fall 2005
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD Populations             COFD
MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
15
77
117
40
71
6
15
88
9
161
11
171
33
814
447
79
76
42
644
630
630
1,502
1,502
7,104","1st Time PB
3
3
20","1st Time Transfer
5
20
53
50
17
2
2
33
4
43
4
73
12
318
60
5
10
1
76
13
13
110
110
1,568","Readmitted
4
1
4
9
14
1
4
13
1
13
1
9
3
77
5
3
8
3
3
64
64
447","Continuing
86
383
679
395
612
22
88
559
87
759
77
941
283
4,971
948
185
207
63
1,403
1,329
1,329
2,151
2,151
39
39
26,927",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,1,19,1,59,1,1,36,131,383,227,
,,,,,,,3,,2,,,,,,486,
,,,,,,1,7,,21,3,,30,,,915,
,,,,,,,27,,26,7,,43,,,597,
,,,,,,1,12,,18,7,1,67,,,820,
,,,,,,,,,,,,,,,31,
,,,,,,1,2,,8,5,,7,,,132,
,,,,,,4,10,,22,2,,40,,,771,
,,,,,,1,4,,17,,,6,,,129,
,,,,,,,9,,8,2,,49,,,"1,044",
,,,,,,,,,,,,,,,93,
,,,,,,1,20,,18,3,,47,,,"1,283",
,,,,,,,9,,19,5,,41,,,406,
,,,,,,10,122,1,218,35,2,366,,,"6,934",
,,,,,,6,22,,26,1,,42,,,"1,560",
,,,,,,1,57,,58,3,,161,,,549,
,,,,,,4,19,,52,3,,54,,,428,
,,,,,,1,28,,28,14,,78,,,255,
,,,,,,2,18,,22,9,1,26,,,78,
,,,,,,14,144,,186,30,1,361,,,"2,870",
,,,,,,,,,,,,,,,"2,489",
,,,,,,,10,,5,1,,14,,,30,
,,,,,,,2,,4,,,,,,6,
,,,,,,,,,3,,,,,,3,
,,,,,,1,16,,15,2,,31,,,65,
,,,,,,,1,,4,1,,8,,,14,
,,,,,,1,29,,31,4,,53,131,383,"2,607",
,,,,,,,,,,,,,,,"3,827",
,,,,,,,,,,,,,,,"3,827",
,,,,,,14,,,4,,,,,,18,
,,,,,,1,51,1,103,8,,139,,,303,
,,,,,,,,,1,,,,,,1,
,,,,,,17,,,,,,,,,56,
,,,,,,16,,,9,,,,,,25,
,,,,,,48,51,1,117,8,,139,,,403,
,,,,,,206,"1,831",9,"2,623",315,17,"2,997",131,383,"44,578",
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,,
