Fall 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"36,066",0.9%,"4,669",-4.5%,"3,329",0.8%,514,0.6%,"44,578",0.3%,
Gender,Female,"17,664",0.5%,"1,924",-5.9%,"1,298",1.3%,379,1.3%,"21,265",0.0%,
,Male,"18,402",1.3%,"2,745",-3.5%,"2,031",0.4%,135,-1.5%,"23,313",0.6%,
Ethnicity,White,"29,030",-0.6%,"2,680",-1.0%,"1,266",-0.6%,454,-1.1%,"33,430",-0.6%,
,Black,960,14.8%,156,21.9%,134,6.3%,3,-25.0%,"1,253",14.5%,
,Hispanic,"3,984",10.5%,321,-2.4%,207,12.5%,30,3.4%,"4,542",9.6%,
,Asian,"1,288",10.6%,133,3.1%,74,21.3%,16,23.1%,"1,511",10.5%,
,American Indian,181,-6.2%,11,57.1%,11,57.1%,1,0.0%,204,-1.9%,
,International,513,-4.1%,"1,300",-13.9%,"1,592",-1.2%,1,100.0%,"3,406",-6.9%,
,Unknown/Other,110,-45.5%,68,-12.8%,45,15.4%,9,80.0%,232,-28.4%,
TAMU Age,<18,81,8.0%,,,,,,,81,8.0%,
Categories,18-21,"25,922",2.0%,73,5.8%,2,100.0%,17,0.0%,"26,014",2.0%,
,22-25,"9,124",-2.3%,"2,502",-3.4%,280,-0.4%,310,0.0%,"12,216",-2.4%,
,26-30,612,5.7%,"1,266",-4.4%,"1,260",3.3%,134,9.8%,"3,272",0.8%,
,31-39,221,8.9%,579,-5.5%,"1,212",0.3%,44,-18.5%,"2,056",-1.1%,
,40+,106,-7.0%,249,-15.0%,575,-3.2%,9,12.5%,939,-6.9%,
Enrollment,1st Time in College,"7,104",0.5%,,,,,,,"7,104",0.5%,
Status,1st Time PB,20,42.9%,206,-13.1%,,,,,226,-10.0%,
,1st Time Graduate,,,"1,831",2.5%,315,-13.5%,,,"2,146",-0.2%,
,1st Time Professional,,,,,,,131,-1.5%,131,-1.5%,
,1st Time Transfer,"1,568",2.8%,,,,,,,"1,568",2.8%,
,Readmitted,447,-3.9%,9,-52.6%,17,54.5%,,,473,-4.4%,
,Continuing,"26,927",1.0%,"2,623",-7.9%,"2,997",2.4%,383,1.3%,"32,930",0.4%,
Tuition,Resident Tuition,"33,952",0.0%,"2,574",-3.2%,"1,186",-1.6%,466,-2.3%,"38,178",-0.3%,
Status,Non-Resident Tuition,876,-8.2%,479,-25.7%,449,2.0%,6,20.0%,"1,810",-11.4%,
,Tuition  Exemption/Waiver,"1,238",52.8%,"1,616",2.0%,"1,694",2.2%,42,44.8%,"4,590",12.5%,
Residency,Texas Resident,"34,348",1.0%,"2,639",-1.0%,"1,233",1.7%,474,-0.6%,"38,694",0.8%,
Status,"Non-TX, US Resident","1,179",1.7%,723,2.8%,485,4.5%,40,17.6%,"2,427",2.8%,
,"Non-TX, Non-US Resident",539,-3.4%,"1,307",-14.1%,"1,611",-1.0%,,,"3,457",-6.7%,
SCH,< 6 SCH,979,4.8%,729,-4.7%,779,4.4%,,,"2,487",1.7%,
Categories,6-8 SCH,"1,101",3.9%,393,-16.7%,178,-16.4%,1,100.0%,"1,673",-4.1%,
,9-11 SCH,"1,660",-4.5%,"2,462",-2.8%,"2,266",1.7%,,,"6,388",-1.7%,
,12-14 SCH,"16,121",-28.5%,749,-1.7%,97,-9.3%,0,-100.0%,"16,967",-27.5%,
,15-17 SCH,"15,274",70.4%,253,-4.9%,9,50.0%,1,100.0%,"15,537",68.3%,
,>17 SCH,931,86.6%,83,-8.8%,0,-100.0%,512,0.4%,"1,526",38.5%,
Ft/Pt:,Less Than Half Time,862,7.5%,597,-3.7%,634,1.8%,,,"2,093",2.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","794
1,601","-9.6%
-4.4%",496,-16.2%,289,-6.5%,1,100.0%,"1,580
1,601","-11.2%
-4.4%",
,Full-Time,"32,809",1.3%,"3,576",-2.7%,"2,406",1.5%,513,0.4%,"39,304",0.9%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,
