Office of Institutional Studies and Planning,,,,,,,
Graduate Students,,,,,,,
Fall 2005,,,,,,,
Official Certified 12th Class Day Data,,,,,,,
Fall 2005,,"G6: PB
Non-Degree","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,319,"4,344","3,329",6,"7,998",
Gender,Female,151,"1,771","1,298",2,"3,222",
,Male,168,"2,573","2,031",4,"4,776",
Ethnicity,White,220,"2,457","1,266",3,"3,946",
,Black,15,141,134,,290,
,Hispanic,21,300,207,,528,
,Asian,7,126,74,,207,
,American Indian,3,8,11,,22,
,International,49,"1,248","1,592",3,"2,892",
,Unknown/Other,4,64,45,,113,
TAMU Age,18-21,6,67,2,,75,
Categories,22-25,108,"2,393",280,1,"2,782",
,26-30,86,"1,176","1,260",4,"2,526",
,31-39,63,515,"1,212",1,"1,791",
,40+,56,193,575,,824,
College,Agriculture,28,509,452,1,990,
,Architecture,7,329,103,,439,
,Business Admin,2,762,64,,828,
,Education,85,448,690,,"1,223",
,Engineering,26,"1,134",902,2,"2,064",
,G. Bush School of Govt,70,130,,,200,
,Geosciences,2,161,119,,282,
,Liberal Arts,15,336,403,,754,
,Science,22,320,392,2,736,
,Veterinary Medicine,1,59,57,1,118,
,Other - Special Populations,61,156,147,,364,
Enrollment,1st Time PB,202,,,4,206,
Status,1st Time Graduate,,"1,831",315,,"2,146",
,Readmitted,,9,17,,26,
,Continuing,117,"2,504","2,997",2,"5,620",
Tuition Status,Resident Tuition,252,"2,319","1,186",3,"3,760",
,Non-Resident Tuition,32,445,449,2,928,
,Tuition Exemption/Waiver,35,"1,580","1,694",1,"3,310",
Residency,Texas Resident,261,"2,375","1,233",3,"3,872",
Status,"Non-TX, US Resident",9,714,485,,"1,208",
,"Non-TX, Non-US Resident",49,"1,255","1,611",3,"2,918",
SCH,< 6 SCH,187,541,779,1,"1,508",
Categories,6-8 SCH,69,324,178,,571,
,9-11 SCH,41,"2,416","2,266",5,"4,728",
,12-14 SCH,21,728,97,,846,
,15-17 SCH,1,252,9,,262,
,>17 SCH,,83,,,83,
Ft/Pt: TAMU,Less Than Half Time,169,427,634,1,"1,231",
Status,Half-Time,86,410,289,,785,
,Full-Time,64,"3,507","2,406",5,"5,982",
"Prepared by OISP, 02 Dec 05",,,,,,,
