Fall 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"6,772",2.2%,"1,162",-7.4%,902,0.4%,,,"8,836",0.6%,
Gender,Female,"1,254",-0.7%,209,-3.7%,132,-2.9%,,,"1,595",-1.3%,
,Male,"5,518",2.9%,953,-8.2%,770,1.0%,,,"7,241",1.1%,
Ethnicity,White,"5,137",1.3%,411,3.0%,125,11.6%,,,"5,673",1.6%,
,Black,189,25.2%,35,66.7%,18,50.0%,,,242,31.5%,
,Hispanic,780,11.3%,49,-7.5%,16,0.0%,,,845,9.7%,
,Asian,313,-1.9%,44,29.4%,20,25.0%,,,377,2.2%,
,American Indian,29,16.0%,1,0.0%,1,0.0%,,,31,14.8%,
,International,297,-5.7%,610,-16.7%,718,-3.0%,,,"1,625",-9.1%,
,Unknown/Other,27,-38.6%,12,-20.0%,4,300.0%,,,43,-28.3%,
TAMU Age,<18,26,136.4%,,,,,,,26,136.4%,
Categories,18-21,"4,643",6.5%,25,0.0%,,,,,"4,668",6.5%,
,22-25,"1,905",-7.3%,682,-9.3%,86,-18.9%,,,"2,673",-8.3%,
,26-30,149,0.0%,326,-4.4%,430,7.2%,,,905,1.6%,
,31-39,38,-9.5%,104,-1.9%,333,-4.0%,,,475,-4.0%,
,40+,11,0.0%,25,-19.4%,53,20.5%,,,89,3.5%,
Enrollment,1st Time in College,"1,620",18.2%,,,,,,,"1,620",18.2%,
Status,1st Time PB,9,125.0%,16,-5.9%,,,,,25,19.0%,
,1st Time Graduate,,,426,0.7%,102,-14.3%,,,528,-2.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,246,2.9%,,,,,,,246,2.9%,
,Readmitted,59,11.3%,2,-66.7%,4,300.0%,,,65,8.3%,
,Continuing,"4,838",-2.5%,718,-11.2%,796,2.3%,,,"6,352",-3.0%,
Tuition,Resident Tuition,"6,075",1.3%,401,0.3%,122,19.6%,,,"6,598",1.5%,
Status,Non-Resident Tuition,314,-11.8%,233,-30.4%,188,8.0%,,,735,-15.0%,
,Tuition  Exemption/Waiver,383,40.3%,528,1.5%,592,-4.8%,,,"1,503",6.2%,
Residency,Texas Resident,"6,148",2.5%,416,3.2%,118,25.5%,,,"6,682",2.9%,
Status,"Non-TX, US Resident",315,3.3%,134,17.5%,62,5.1%,,,511,6.9%,
,"Non-TX, Non-US Resident",309,-4.6%,612,-17.1%,722,-3.1%,,,"1,643",-9.1%,
SCH,< 6 SCH,137,-1.4%,166,-10.8%,143,19.2%,,,446,0.2%,
Categories,6-8 SCH,117,-16.4%,56,14.3%,15,-16.7%,,,188,-9.2%,
,9-11 SCH,298,-1.0%,859,-3.7%,711,-2.7%,,,"1,868",-2.9%,
,12-14 SCH,"3,183",-26.1%,78,-37.1%,29,7.4%,,,"3,290",-26.2%,
,15-17 SCH,"2,870",73.3%,3,0.0%,4,100.0%,,,"2,877",73.2%,
,>17 SCH,167,96.5%,0,-100.0%,,,,,167,94.2%,
Ft/Pt:,Less Than Half Time,45,12.5%,137,-12.7%,113,10.8%,,,295,-1.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","117
298","-15.8%
-0.7%",73,10.6%,20,-9.1%,,,"210
298","-7.5%
-0.7%",
,Full-Time,"6,312",2.7%,952,-7.8%,769,-0.6%,,,"8,033",1.0%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,
