"Fall 2005
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
26-30
Classification                  Freshman Sophomore Junior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,Black,,,,,Hispanic,,,,Asian,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,
,F,M,Tot,F,,M,,Tot,F,,M,Tot,F,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,M,,Tot,,
,404,217,621,,24,,3,27,,88,48,136,18,,6,24,,,,3,1,4,2,,,2,539,,275,,814,
,5,,5,,,,,,,1,,1,1,,,1,,,,,1,1,,,,,7,,1,,8,
,399,214,613,,24,,3,27,,87,48,135,17,,6,23,,,,3,,3,2,,,2,532,,271,,803,
,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,379,206,585,,24,,3,27,,85,46,131,15,,5,20,,,,2,1,3,2,,,2,507,,261,,768,
,25,10,35,,,,,,,3,2,5,2,,1,3,,,,1,,1,,,,,31,,13,,44,
,,1,1,,,,,,,,,,1,,,1,,,,,,,,,,,1,,1,,2,
,360,186,546,,23,,3,26,,82,46,128,13,,6,19,,,,1,,1,2,,,2,481,,241,,722,
,13,6,19,,1,,,1,,2,1,3,1,,,1,,,,2,1,3,,,,,19,,8,,27,
,31,25,56,,,,,,,4,1,5,4,,,4,,,,,,,,,,,39,,26,,65,
,382,195,577,,23,,3,26,,87,47,134,15,,6,21,,,,,,,2,,,2,509,,251,,760,
,22,22,44,,1,,,1,,1,1,2,3,,,3,,,,,,,,,,,27,,23,,50,
,,,,,,,,,,,,,,,,,,,,3,1,4,,,,,3,,1,,4,
,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,199,108,307,,13,,2,15,,49,25,74,6,,4,10,,,,2,1,3,,,,,269,,140,,409,
,201,108,309,,11,,1,12,,38,23,61,11,,2,13,,,,1,,1,2,,,2,264,,134,,398,
,1,1,2,,,,,,,1,,1,1,,,1,,,,,,,,,,,3,,1,,4,
,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,401,217,618,,24,,3,27,,88,48,136,18,,6,24,,,,3,1,4,2,,,2,536,,275,,811,
,219,153,372,,16,,3,19,,38,27,65,14,,6,20,,,,2,1,3,1,,,1,290,,190,,480,
,185,64,249,,8,,,8,,50,21,71,4,,,4,,,,1,,1,1,,,1,249,,85,,334,
,327,174,501,,6,,,6,,41,22,63,11,,5,16,,,,3,,3,1,,,1,389,,201,,590,
,3,1,4,,1,,,1,,2,1,3,1,,,1,,,,,1,1,,,,,7,,3,,10,
,74,42,116,,17,,3,20,,45,25,70,6,,1,7,,,,,,,1,,,1,143,,71,,214,
,115,66,181,,3,,,3,,14,6,20,3,,1,4,,,,,,,1,,,1,136,,73,,209,
,289,151,440,,21,,3,24,,74,42,116,15,,5,20,,,,3,1,4,1,,,1,403,,202,,605,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
