Fall 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,469,2.6%,163,-5.2%,119,-2.5%,,,751,0.0%,
Gender,Female,177,1.7%,69,-2.8%,43,0.0%,,,289,0.3%,
,Male,292,3.2%,94,-6.9%,76,-3.8%,,,462,-0.2%,
Ethnicity,White,397,-0.5%,115,0.0%,41,-4.7%,,,553,-0.7%,
,Black,3,0.0%,3,50.0%,,,,,6,20.0%,
,Hispanic,46,17.9%,6,-25.0%,2,-33.3%,,,54,8.0%,
,Asian,13,116.7%,0,-100.0%,3,0.0%,,,16,60.0%,
,American Indian,2,100.0%,1,100.0%,1,0.0%,,,4,100.0%,
,International,6,20.0%,35,-18.6%,70,-1.4%,,,111,-6.7%,
,Unknown/Other,2,-50.0%,3,0.0%,2,100.0%,,,7,-12.5%,
TAMU Age,<18,1,0.0%,,,,,,,1,0.0%,
Categories,18-21,295,12.2%,,,,,,,295,12.2%,
,22-25,136,-13.9%,88,2.3%,5,-16.7%,,,229,-8.4%,
,26-30,20,0.0%,42,-22.2%,49,22.5%,,,111,-2.6%,
,31-39,15,36.4%,25,4.2%,50,-13.8%,,,90,-3.2%,
,40+,2,-50.0%,8,0.0%,15,-16.7%,,,25,-16.7%,
Enrollment,1st Time in College,72,-5.3%,,,,,,,72,-5.3%,
Status,1st Time PB,1,0.0%,1,-66.7%,,,,,2,-50.0%,
,1st Time Graduate,,,43,0.0%,12,-25.0%,,,55,-6.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,26,-18.8%,,,,,,,26,-18.8%,
,Readmitted,8,14.3%,1,100.0%,,,,,9,28.6%,
,Continuing,362,6.2%,118,-6.3%,107,0.9%,,,587,2.4%,
Tuition,Resident Tuition,435,0.5%,74,19.4%,21,-4.5%,,,530,2.5%,
Status,Non-Resident Tuition,10,-16.7%,14,-22.2%,16,-11.1%,,,40,-16.7%,
,Tuition  Exemption/Waiver,24,100.0%,75,-18.5%,82,0.0%,,,181,-2.7%,
Residency,Texas Resident,444,2.5%,74,21.3%,21,-4.5%,,,539,4.5%,
Status,"Non-TX, US Resident",19,0.0%,54,-20.6%,26,-7.1%,,,99,-13.9%,
,"Non-TX, Non-US Resident",6,20.0%,35,-18.6%,72,0.0%,,,113,-5.8%,
SCH,< 6 SCH,6,0.0%,33,17.9%,15,-21.1%,,,54,1.9%,
Categories,6-8 SCH,11,-21.4%,8,14.3%,1,-75.0%,,,20,-20.0%,
,9-11 SCH,28,12.0%,118,-10.6%,101,3.1%,,,247,-3.1%,
,12-14 SCH,189,-33.0%,4,-20.0%,2,100.0%,,,195,-32.3%,
,15-17 SCH,215,72.0%,,,,,,,215,72.0%,
,>17 SCH,20,300.0%,,,,,,,20,300.0%,
Ft/Pt:,Less Than Half Time,6,20.0%,28,7.7%,14,-26.3%,,,48,-4.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","11
28","-21.4%
16.7%",8,-11.1%,1,-75.0%,,,"20
28","-25.9%
16.7%",
,Full-Time,424,2.4%,127,-7.3%,104,5.1%,,,655,0.8%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,
