Fall 2005,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,76,-3.8%,2,100.0%,11,10.0%,7,-12.5%,0,-100.0%,74,-12.9%,4,0.0%,174,-7.0%,
,COMG,26,0.0%,1,0.0%,3,200.0%,3,50.0%,,,30,-37.5%,0,-100.0%,63,-20.3%,
,COSC,309,3.3%,4,100.0%,32,39.1%,6,100.0%,,,2,0.0%,2,100.0%,355,6.9%,
,COSL,222,-0.4%,4,33.3%,28,16.7%,1,-75.0%,2,100.0%,,,2,-33.3%,259,0.4%,
,ENDL,257,7.5%,5,25.0%,44,63.0%,18,12.5%,2,0.0%,1,-83.3%,0,-100.0%,327,10.8%,
,ENDS,201,-3.8%,4,0.0%,28,-22.2%,9,28.6%,1,0.0%,4,300.0%,1,-50.0%,248,-4.6%,
,LAND,64,-13.5%,1,0.0%,11,10.0%,0,-100.0%,1,-50.0%,9,-50.0%,0,-100.0%,86,-20.4%,
,LANL,66,6.5%,0,-100.0%,7,40.0%,2,0.0%,,,,,,,75,7.1%,
,LDEV,12,-29.4%,1,100.0%,2,100.0%,1,100.0%,,,6,-45.5%,2,100.0%,24,-17.2%,
,URPL,16,0.0%,3,50.0%,1,-66.7%,,,,,12,-29.4%,0,-100.0%,32,-17.9%,
,URSC,10,-9.1%,1,0.0%,1,100.0%,,,,,38,0.0%,1,0.0%,51,0.0%,
,VIZA,43,0.0%,1,100.0%,6,-25.0%,7,40.0%,,,10,-28.6%,1,0.0%,68,-4.2%,
,Subtotal,"1,302",0.3%,27,35.0%,174,17.6%,54,12.5%,6,-25.0%,186,-22.5%,13,-23.5%,"1,762",-1.0%,
Business,ACCT,674,-0.7%,8,-27.3%,40,2.6%,32,0.0%,3,200.0%,15,-6.3%,3,0.0%,775,-0.8%,
Admin,AGBU,8,33.3%,,,1,0.0%,,,,,,,,,9,28.6%,
,BUAD,"1,586",-1.4%,53,47.2%,194,51.6%,63,-8.7%,7,0.0%,40,-9.1%,9,28.6%,"1,952",2.7%,
,BUAG,14,7.7%,,,0,-100.0%,1,100.0%,,,,,,,15,7.1%,
,EMBA,27,100.0%,1,100.0%,10,100.0%,2,100.0%,,,,,2,100.0%,42,100.0%,
,FINC,574,-4.2%,9,-18.2%,34,9.7%,25,-7.4%,2,100.0%,16,14.3%,2,-71.4%,662,-4.1%,
,INFO,140,2.9%,2,-66.7%,9,-30.8%,5,-28.6%,3,0.0%,10,-28.6%,1,0.0%,170,-5.6%,
,MGMT,344,-4.2%,14,0.0%,35,-7.9%,17,-5.6%,1,-50.0%,10,-33.3%,3,-25.0%,424,-5.8%,
,MISY,40,14.3%,2,0.0%,0,-100.0%,3,50.0%,,,86,17.8%,,,131,15.9%,
,MKTG,553,-0.9%,9,-10.0%,31,-20.5%,14,75.0%,3,-25.0%,15,-11.8%,2,-66.7%,627,-2.3%,
,MLER,70,4.5%,0,-100.0%,3,-25.0%,,,,,1,0.0%,5,400.0%,79,5.3%,
,Subtotal,"4,030",-0.8%,98,6.5%,357,21.0%,162,-0.6%,19,5.6%,193,-0.5%,27,-6.9%,"4,886",0.7%,
Education,CPSY,25,-16.7%,4,-20.0%,6,50.0%,2,100.0%,,,1,-66.7%,1,0.0%,39,-11.4%,
,EDAD,193,-10.6%,35,-5.4%,55,-5.2%,,,2,100.0%,7,-12.5%,5,-28.6%,297,-9.2%,
,EDCI,238,2.6%,47,9.3%,30,-11.8%,5,0.0%,1,0.0%,29,-12.1%,4,33.3%,354,0.9%,
,EDHL,194,4.9%,8,-27.3%,23,64.3%,7,75.0%,,,0,-100.0%,,,232,7.9%,
,EDIS,777,-16.5%,22,69.2%,88,-5.4%,11,57.1%,5,150.0%,0,-100.0%,,,903,-13.9%,
,EDKI,611,-18.5%,29,-17.1%,66,-14.3%,16,6.7%,3,-40.0%,0,-100.0%,0,-100.0%,725,-18.3%,
,EDSM,207,100.0%,15,100.0%,21,100.0%,1,100.0%,,,1,100.0%,1,100.0%,246,100.0%,
,EDTC,23,-20.7%,1,0.0%,3,0.0%,,,,,4,-33.3%,,,31,-20.5%,
,EHRD,95,4.4%,19,11.8%,27,-20.6%,2,-50.0%,,,21,16.7%,3,-40.0%,167,-1.2%,
,EPSY,103,-23.7%,10,11.1%,23,-30.3%,0,-100.0%,1,100.0%,30,20.0%,,,167,-17.7%,
,HEED,18,-14.3%,8,33.3%,1,0.0%,1,100.0%,,,4,100.0%,1,0.0%,33,6.5%,
,HLTH,112,10.9%,5,25.0%,11,0.0%,2,100.0%,0,-100.0%,1,100.0%,0,-100.0%,131,10.1%,
,INST,"1,013",12.2%,14,7.7%,100,53.8%,9,80.0%,5,-37.5%,2,0.0%,2,-50.0%,"1,145",14.5%,
,ISNC,263,39.9%,13,62.5%,41,41.4%,7,-12.5%,2,100.0%,2,0.0%,1,100.0%,329,39.4%,
,KINE,317,-10.5%,4,-20.0%,22,-24.1%,5,-28.6%,1,-50.0%,13,-23.5%,3,-50.0%,365,-13.1%,
,PHED,3,-40.0%,,,2,-33.3%,,,,,2,0.0%,,,7,-30.0%,
