Fall 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,975",-0.6%,61,-10.3%,57,-28.8%,514,0.6%,"2,607",-1.5%,
Gender,Female,"1,352",0.7%,45,-10.0%,33,-17.5%,379,1.3%,"1,809",0.2%,
,Male,623,-3.4%,16,-11.1%,24,-40.0%,135,-1.5%,798,-5.0%,
Ethnicity,White,"1,468",-3.5%,40,-7.0%,30,-14.3%,454,-1.1%,"1,992",-3.3%,
,Black,47,23.7%,1,100.0%,1,0.0%,3,-25.0%,52,20.9%,
,Hispanic,280,7.7%,6,50.0%,2,0.0%,30,3.4%,318,7.8%,
,Asian,158,26.4%,3,0.0%,1,-75.0%,16,23.1%,178,22.8%,
,American Indian,10,-37.5%,,,,,1,0.0%,11,-35.3%,
,International,8,-42.9%,11,-38.9%,22,-37.1%,1,100.0%,42,-37.3%,
,Unknown/Other,4,-66.7%,,,1,-66.7%,9,80.0%,14,-30.0%,
TAMU Age,<18,4,-50.0%,,,,,,,4,-50.0%,
Categories,18-21,"1,710",0.2%,1,0.0%,,,17,0.0%,"1,728",0.2%,
,22-25,252,-2.3%,34,-10.5%,7,-22.2%,310,0.0%,603,-2.0%,
,26-30,7,-30.0%,16,0.0%,24,-31.4%,134,9.8%,181,-1.1%,
,31-39,2,-33.3%,9,0.0%,17,-43.3%,44,-18.5%,72,-25.0%,
,40+,0,-100.0%,1,-75.0%,9,50.0%,9,12.5%,19,0.0%,
Enrollment,1st Time in College,630,-0.2%,,,,,,,630,-0.2%,
Status,1st Time PB,,,1,-66.7%,,,,,1,-66.7%,
,1st Time Graduate,,,29,31.8%,4,-55.6%,,,33,6.5%,
,1st Time Professional,,,,,,,131,-1.5%,131,-1.5%,
,1st Time Transfer,13,-71.1%,,,,,,,13,-71.1%,
,Readmitted,3,-62.5%,,,,,,,3,-62.5%,
,Continuing,"1,329",2.0%,31,-27.9%,53,-25.4%,383,1.3%,"1,796",0.1%,
Tuition,Resident Tuition,"1,879",-2.4%,37,-2.6%,22,-26.7%,466,-2.3%,"2,404",-2.7%,
Status,Non-Resident Tuition,23,-39.5%,4,0.0%,7,0.0%,6,20.0%,40,-25.9%,
,Tuition  Exemption/Waiver,73,204.2%,20,-23.1%,28,-34.9%,42,44.8%,163,33.6%,
Residency,Texas Resident,"1,925",0.1%,38,-2.6%,24,-22.6%,474,-0.6%,"2,461",-0.4%,
Status,"Non-TX, US Resident",42,-14.3%,12,9.1%,11,-21.4%,40,17.6%,105,-2.8%,
,"Non-TX, Non-US Resident",8,-42.9%,11,-38.9%,22,-37.1%,,,41,-38.8%,
SCH,< 6 SCH,10,11.1%,14,16.7%,7,-36.4%,,,31,-3.1%,
Categories,6-8 SCH,24,-4.0%,6,-14.3%,3,0.0%,1,100.0%,34,-2.9%,
,9-11 SCH,55,14.6%,36,-25.0%,45,-29.7%,,,136,-15.0%,
,12-14 SCH,759,-47.9%,5,400.0%,2,0.0%,0,-100.0%,766,-47.6%,
,15-17 SCH,"1,086",153.1%,,,,,1,100.0%,"1,087",153.4%,
,>17 SCH,41,127.8%,,,,,512,0.4%,553,4.7%,
Ft/Pt:,Less Than Half Time,9,0.0%,8,33.3%,5,-28.6%,,,22,0.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","23
55","0.0%
14.6%",11,-15.4%,5,-28.6%,1,100.0%,"40
55","-7.0%
14.6%",
,Full-Time,"1,888",-1.0%,42,-14.3%,47,-28.8%,513,0.4%,"2,490",-1.7%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,
