Fall 2005,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering       AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL PREN RHEL RHEN SENG",,"250
241
120
135
121
86
78
88
130
237
4
236
118
242
602
226
248
1
0
199
105
8
117
308
68
133
4
389
589
74
96
39
89
153
118
0
5
15
1","6.8%
10.0%
13.2%
3.8%
-5.5%
-2.3%
-17.0%
-28.5%
-3.7%
-3.7%
-33.3%
-4.5%
-22.9%
8.0%
2.2%
14.7%
-13.0%
100.0%
-100.0%
-3.9%
26.5%
166.7%
-0.8%
7.7%
51.1%
16.7%
-50.0%
-3.5%
5.6%
45.1%
-3.0%
85.7%
8.5%
0.7%
28.3%
-100.0%
-16.7%
-28.6%
0.0%","10
3
9
4
5
2
12
2
9
12
1
12
6
6
11
12
11
6
5
2
8
8
9
16
2
16
21
1
1
2
10
8
0
0","233.3%
0.0%
80.0%
-20.0%
-16.7%
-33.3%
100.0%
0.0%
800.0%
33.3%
100.0%
0.0%
-14.3%
0.0%
-15.4%
33.3%
0.0%
-45.5%
25.0%
100.0%
100.0%
300.0%
28.6%
45.5%
-33.3%
166.7%
31.3%
100.0%
100.0%
-33.3%
11.1%
166.7%
-100.0%
-100.0%","47
34
30
25
22
7
18
11
35
27
21
20
64
68
50
38
0
24
16
1
4
24
14
37
55
73
5
11
8
11
21
18
0
3
3
0","46.9%
13.3%
11.1%
38.9%
37.5%
16.7%
-30.8%
-31.3%
40.0%
-12.9%
-19.2%
-20.0%
128.6%
-4.2%
51.5%
-5.0%
-100.0%
-11.1%
33.3%
-50.0%
-50.0%
9.1%
-44.0%
5.7%
34.1%
23.7%
-28.6%
10.0%
166.7%
-42.1%
-8.7%
50.0%
-100.0%
0.0%
50.0%
-100.0%","9
10
19
29
10
10
8
12
5
22
17
9
10
20
14
39
13
9
3
7
1
16
19
25
6
8
3
5
12
5
1
1","28.6%
-9.1%
58.3%
38.1%
42.9%
-9.1%
0.0%
-42.9%
-37.5%
-8.3%
-10.5%
-18.2%
66.7%
5.3%
27.3%
-17.0%
-40.9%
0.0%
200.0%
-30.0%
-83.3%
-5.9%
171.4%
38.9%
20.0%
14.3%
100.0%
-37.5%
50.0%
-16.7%
100.0%
-50.0%","0
1
1
0
0
2
1
0
2
1
1
1
3
2
0
7
4
0
1
1
2
1","-100.0%
-50.0%
100.0%
-100.0%
-100.0%
100.0%
100.0%
-100.0%
0.0%
0.0%
100.0%
0.0%
200.0%
100.0%
-100.0%
600.0%
0.0%
-100.0%
0.0%
0.0%
0.0%
100.0%","2
72
4
46
3
40
2
48
9
114
16
164
0
1
181
21
290
8
2
2
2
3
4
4
131
2
5
228
2
25
2
35
151
5
0
1","0.0%
2.9%
-20.0%
12.2%
50.0%
11.1%
-33.3%
9.1%
50.0%
0.0%
-36.0%
-19.6%
-100.0%
100.0%
-11.7%
-19.2%
-4.0%
60.0%
-60.0%
-33.3%
-60.0%
50.0%
0.0%
-42.9%
-22.9%
-60.0%
-54.5%
-13.6%
100.0%
-13.8%
100.0%
-12.5%
12.7%
-37.5%
-100.0%
-50.0%","1
3
2
0
1
1
3
1
0
5
0
0
4
0
4
1
0
9
0
2
1
4
0
1","100.0%
0.0%
-33.3%
-100.0%
-50.0%
-66.7%
-40.0%
0.0%
-100.0%
-44.4%
-100.0%
-100.0%
33.3%
-100.0%
0.0%
-50.0%
-100.0%
12.5%
-100.0%
-33.3%
0.0%
33.3%
-100.0%
100.0%","319
363
182
242
161
146
118
162
190
414
21
453
154
323
889
324
627
9
0
249
140
13
137
355
96
334
8
491
949
88
144
52
144
353
155
0
9
21
1","14.7%
8.0%
15.9%
10.0%
1.3%
0.7%
-14.5%
-22.9%
8.0%
-3.0%
-32.3%
-11.7%
-23.8%
21.0%
-2.1%
16.1%
-8.6%
80.0%
-100.0%
-9.8%
22.8%
18.2%
2.2%
7.9%
6.7%
-4.3%
-50.0%
4.5%
2.4%
33.3%
-3.4%
108.0%
-6.5%
6.6%
28.1%
-100.0%
-10.0%
-25.0%
-50.0%",
,Subtotal,"5,673",1.6%,242,31.5%,845,9.7%,377,2.2%,31,14.8%,"1,625",-9.1%,43,-28.3%,"8,836",0.6%,
G. Bush,BUSH,42,2.4%,4,33.3%,11,37.5%,0,-100.0%,1,100.0%,7,-22.2%,1,0.0%,65,1.6%,
School of,CAIA,9,100.0%,,,1,100.0%,,,,,1,100.0%,,,11,100.0%,
Govt,CHLS,10,100.0%,,,,,,,,,,,,,11,100.0%,
,INTA,90,-7.2%,4,-20.0%,11,0.0%,3,0.0%,0,-100.0%,5,25.0%,0,-100.0%,113,-8.1%,
,Subtotal,151,9.4%,8,0.0%,23,21.1%,3,-40.0%,1,0.0%,13,0.0%,1,-66.7%,200,7.0%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,,,,,,,
