Country,Undergraduate,Masters,PhD,Professional,Total Students
Afghanistan,1,,,,1
Albania,,2,,,2
Algeria,,,1,,1
Antigua and Barbuda,,,1,,1
Argentina,4,9,8,,21
Armenia,,3,1,,4
Australia,4,1,,,5
Austria,1,2,2,,5
Azerbaijan,,5,,,5
Bahrain,,2,,,2
Bangladesh,9,11,9,,29
Barbados,,1,,,1
Belarus,,1,5,,6
Belgium,1,,,,1
Belize (British Honduras),1,1,,,2
Bolivia,12,1,1,,14
Bosnia-Herzegovina,1,,,,1
Botswana,,,2,,2
Brazil,4,12,11,,27
British Virgin Islands,,1,,,1
Bulgaria,,2,6,,8
Burma (Myanmar),,,1,,1
Cambodia  (Kampuchea),,1,,,1
Cameroon,2,1,1,,4
Canada,20,19,21,,60
Chile,,4,8,,12
"China, People's Rep of",18,208,397,,623
Colombia,9,34,21,,64
Congo,1,,,,1
Costa Rica,6,,1,,7
Cote d'Ivoire (Ivory Coast),1,1,1,,3
Croatia,1,,,,1
Cyprus,,1,,,1
Czech Republic,,3,,,3
Denmark,1,6,1,,8
Dominica,,,1,,1
Dominican Republic,3,1,2,,6
Ecuador,9,10,3,,22
Egypt (A.R.E.),1,2,18,,21
El Salvador,3,4,,,7
Equatorial Guinea,3,,,,3
Eritrea,1,,2,,3
Estonia,1,,,,1
Ethiopia,,2,,,2
France,7,31,6,,44
