Fall 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"6,180",-1.1%,351,-6.1%,403,-1.0%,,,"6,934",-1.4%,
Gender,Female,"3,710",-0.6%,165,-10.3%,193,4.9%,,,"4,068",-0.8%,
,Male,"2,470",-1.9%,186,-2.1%,210,-5.8%,,,"2,866",-2.2%,
Ethnicity,White,"5,041",-2.2%,205,-6.4%,237,-3.3%,,,"5,483",-2.4%,
,Black,171,4.9%,14,0.0%,7,0.0%,,,192,4.3%,
,Hispanic,743,7.2%,43,2.4%,34,30.8%,,,820,7.8%,
,Asian,137,6.2%,17,142.9%,5,-16.7%,,,159,12.0%,
,American Indian,26,-16.1%,0,-100.0%,3,50.0%,,,29,-14.7%,
,International,37,2.8%,65,-20.7%,104,-4.6%,,,206,-9.3%,
,Unknown/Other,25,-43.2%,7,-22.2%,13,8.3%,,,45,-30.8%,
TAMU Age,<18,8,14.3%,,,,,,,8,14.3%,
Categories,18-21,"4,198",1.8%,3,-25.0%,,,,,"4,201",1.8%,
,22-25,"1,786",-7.7%,164,-6.8%,34,21.4%,,,"1,984",-7.2%,
,26-30,119,0.8%,98,-11.7%,148,-3.9%,,,365,-4.7%,
,31-39,44,12.8%,61,7.0%,156,-4.3%,,,261,0.8%,
,40+,25,-16.7%,25,-3.8%,65,4.8%,,,115,-2.5%,
Enrollment,1st Time in College,814,10.4%,,,,,,,814,10.4%,
Status,1st Time PB,,,10,-23.1%,,,,,10,-23.1%,
,1st Time Graduate,,,122,-13.5%,35,-35.2%,,,157,-19.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,318,2.3%,,,,,,,318,2.3%,
,Readmitted,77,-37.4%,1,0.0%,2,-33.3%,,,80,-37.0%,
,Continuing,"4,971",-2.1%,218,-0.5%,366,4.6%,,,"5,555",-1.7%,
Tuition,Resident Tuition,"5,812",-2.8%,152,-9.0%,167,-3.5%,,,"6,131",-3.0%,
Status,Non-Resident Tuition,146,8.1%,44,-34.3%,60,-4.8%,,,250,-5.7%,
,Tuition  Exemption/Waiver,222,60.9%,155,10.7%,176,2.9%,,,553,23.2%,
Residency,Texas Resident,"5,888",-1.8%,160,-6.4%,173,-0.6%,,,"6,221",-1.9%,
Status,"Non-TX, US Resident",252,15.6%,125,4.2%,124,1.6%,,,501,8.9%,
,"Non-TX, Non-US Resident",40,5.3%,66,-20.5%,106,-4.5%,,,212,-8.6%,
SCH,< 6 SCH,66,8.2%,57,-13.6%,130,8.3%,,,253,2.4%,
Categories,6-8 SCH,167,-7.2%,13,-35.0%,14,-26.3%,,,194,-11.4%,
,9-11 SCH,356,-17.2%,247,1.2%,246,-3.1%,,,849,-8.5%,
,12-14 SCH,"2,479",-30.8%,34,-10.5%,12,-7.7%,,,"2,525",-30.5%,
,15-17 SCH,"2,875",53.9%,0,-100.0%,1,0.0%,,,"2,876",53.4%,
,>17 SCH,237,82.3%,,,,,,,237,82.3%,
Ft/Pt:,Less Than Half Time,60,15.4%,46,-8.0%,103,14.4%,,,209,8.9%,
"TAMU
Status","Half-Time
Three-Quarter Time","164
347","-7.9%
-16.8%",24,-33.3%,40,-2.4%,,,"228
347","-10.6%
-16.8%",
,Full-Time,"5,609",0.1%,281,-2.4%,260,-5.8%,,,"6,150",-0.3%,
"Prepared by OISP, 02 Dec 05",,,,,,,,,,,,
