Demographic Summary by Entry Status,,,,,,,,,,,
Fall 2001,,,,,,,,,,,
"Fall 2001
Head Count       Total
Gender              Male Female
Ethnic                White
Origin                Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age       <18
Categories         18-21
22-25
26-30
31-39
40+
College              Agriculture Architecture Business Admin Education Engineering Geosciences
G. Bush School of Govt Liberal Arts
Science
Veterinary Medicine General Studies
Other Special Populations
Student              Lower
Level                 Upper Masters PhD Professional
Tuition              Resident Tuition
Status                Non-Resident Tuition Tuition Exemption/Waiver
Residency         Texas Resident
Status                Non-TX, US Resident
Non-TX, Non-US Resident
SCH                  < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                 Less Than Half Time
TAMU              Half-Time
Status                Three-Quarter Time Full-Time",Undergraduate,,,,,Graduate,,,Professional,,
,"1st Time in College
6760
3284
3476
5544
198
674
222
37
48
37
66
6687
6
1
503
146
850
293
1458
60
735
504
487
1724
6743
17
6408
199
153
6445
262
53
348
25
19
5650
715
3
348
25
19
6368","1st Time PB
28
21
7
21
4
2
1
7
14
4
3
9
2
13
2
2
28
23
4
1
23
4
1
2
6
2
9
7
2
2
6
2
18","1st Time Transfer
1863
996
867
1559
28
147
41
13
55
20
1
1515
247
59
30
11
429
67
51
296
337
36
323
121
75
128
1236
627
1744
87
32
1756
52
55
19
55
74
1463
248
4
19
55
75
1714","Re Admitted
568
345
223
458
22
72
8
4
4
222
257
65
15
9
148
11
49
37
86
2
97
23
12
103
192
376
554
11
3
555
11
2
24
32
54
353
97
8
24
31
53
460","Contin uing
27384
14107
13277
22458
641
2386
930
133
368
468
1
17815
8744
525
212
87
4231
1195
3989
2461
5734
334
5094
1204
1401
1719
22
8002
19382
26015
773
596
26032
980
372
379
764
1409
15839
8429
564
234
648
1286
25216",1st Time Graduate,Re Admitted,Contin uing,1st Time Professional,Contin uing,
,,,,,,2007,27,5484,129,368,
,,,,,,1238,18,3368,35,119,
,,,,,,769,9,2116,94,249,
,,,,,,996,19,2700,118,328,
,,,,,,28,2,154,,,
,,,,,,73,4,295,6,17,
,,,,,,32,,102,4,14,
,,,,,,3,,12,1,3,
,,,,,,840,2,2165,,,
,,,,,,35,,56,,6,
,,,,,,85,,9,27,3,
,,,,,,1077,1,1431,66,218,
,,,,,,480,10,1785,29,101,
,,,,,,255,7,1453,7,37,
,,,,,,110,9,806,,9,
,,,,,,246,5,898,,,
,,,,,,157,4,256,,,
,,,,,,471,2,402,,,
,,,,,,208,7,972,,,
,,,,,,515,4,1455,,,
,,,,,,51,,238,,,
,,,,,,26,,37,,,
,,,,,,149,2,553,,,
,,,,,,145,3,495,,,
,,,,,,28,,115,129,368,
,,,,,,11,,63,,,
,,,,,,1712,15,2890,,,
,,,,,,295,12,2594,,,
,,,,,,,,,129,368,
,,,,,,874,20,2367,126,350,
,,,,,,290,4,873,1,7,
,,,,,,843,3,2244,2,11,
,,,,,,890,21,2380,126,350,
,,,,,,274,3,931,3,18,
,,,,,,843,3,2173,,,
,,,,,,77,16,1449,,,
,,,,,,80,5,383,,,
,,,,,,1130,5,3144,,,
,,,,,,543,1,400,1,,
,,,,,,163,,94,,2,
,,,,,,14,,14,128,366,
,,,,,,56,16,1261,,,
,,,,,,102,5,569,,,
,,,,,,1849,6,3654,129,368,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,
