"Fall 2001
Geosciences            ATMO GEOG GEOL GEPL OCNG
Subtotal
G. Bush School       BUSH  of Govt                    Subtotal
Liberal Arts             ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other Special          CLMD
Populations    COFD EPSY INEN PETE SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
,175,1.7%,1,0.0%,7,-12.5%,3,200.0%,2,100.0%,15,-28.6%,3,-40.0%,206,-1.0%,
,154,-3.8%,5,400.0%,17,13.3%,1,-66.7%,1,-50.0%,6,50.0%,1,100.0%,185,0.0%,
,0,-100.0%,,,0,-100.0%,,,,,,,0,-100.0%,0,-100.0%,
,169,3.7%,0,-100.0%,13,0.0%,4,33.3%,2,0.0%,59,-11.9%,3,-25.0%,250,-1.6%,
,52,8.3%,,,1,-50.0%,1,0.0%,,,27,8.0%,1,-66.7%,82,3.8%,
,550,-1.8%,6,50.0%,38,-5.0%,9,12.5%,5,25.0%,107,-8.5%,8,-38.5%,723,-3.1%,
,49,14.0%,3,50.0%,6,100.0%,1,-50.0%,1,100.0%,2,0.0%,1,100.0%,63,21.2%,
,49,14.0%,3,50.0%,6,100.0%,1,-50.0%,1,100.0%,2,0.0%,1,100.0%,63,21.2%,
,191,3.8%,1,100.0%,24,41.2%,5,0.0%,1,100.0%,13,8.3%,2,-71.4%,237,5.3%,
,204,15.9%,8,0.0%,46,2.2%,10,-9.1%,,,2,-33.3%,2,-33.3%,272,10.6%,
,505,30.5%,8,0.0%,42,-4.5%,19,18.8%,2,-50.0%,81,-3.6%,13,62.5%,670,21.6%,
,583,-2.7%,11,22.2%,47,-11.3%,5,-16.7%,3,200.0%,23,9.5%,10,0.0%,682,-2.4%,
,478,2.6%,11,0.0%,61,8.9%,7,-12.5%,6,50.0%,1,100.0%,10,-37.5%,574,2.3%,
,692,-2.0%,24,-11.1%,69,3.0%,14,-6.7%,4,-20.0%,7,16.7%,12,-7.7%,822,-2.0%,
,76,-2.6%,1,0.0%,19,-29.6%,1,-50.0%,1,-50.0%,5,25.0%,1,-66.7%,104,-11.1%,
,89,25.4%,,,5,25.0%,5,25.0%,,,0,-100.0%,5,0.0%,104,20.9%,
,750,13.1%,23,4.5%,94,14.6%,12,33.3%,7,75.0%,12,-14.3%,11,0.0%,909,12.9%,
,20,-33.3%,3,50.0%,6,-25.0%,0,-100.0%,,,,,,,29,-29.3%,
,1157,5.2%,55,10.0%,157,-1.9%,50,16.3%,7,-22.2%,11,10.0%,21,-22.2%,1458,4.2%,
,660,14.6%,17,-5.6%,73,43.1%,14,40.0%,5,25.0%,6,100.0%,13,-23.5%,788,16.1%,
,224,1.4%,10,-23.1%,34,13.3%,10,0.0%,0,-100.0%,22,-8.3%,4,0.0%,304,0.3%,
,5629,7.1%,172,1.8%,677,5.1%,152,8.6%,36,5.9%,183,0.0%,104,-16.1%,6953,6.1%,
,997,-1.1%,49,14.0%,173,-2.8%,96,-4.0%,6,100.0%,36,-10.0%,21,-32.3%,1378,-1.8%,
,252,-7.0%,13,0.0%,31,14.8%,22,-4.3%,1,0.0%,97,7.8%,6,20.0%,422,-1.9%,
,304,2.7%,6,0.0%,26,0.0%,11,10.0%,1,100.0%,54,-11.5%,9,12.5%,411,1.0%,
,94,-3.1%,1,0.0%,7,16.7%,5,25.0%,,,78,5.4%,4,-20.0%,189,1.1%,
,26,4.0%,1,0.0%,1,-50.0%,2,-33.3%,,,67,19.6%,,,97,11.5%,
,1673,-1.4%,70,9.4%,238,-0.4%,136,-2.9%,8,100.0%,332,3.4%,40,-18.4%,2497,-0.7%,
,2024,-6.3%,53,-15.9%,226,-15.4%,110,-8.3%,14,-12.5%,8,-20.0%,37,-14.0%,2472,-7.7%,
,22,0.0%,,,2,-33.3%,0,-100.0%,,,6,20.0%,1,100.0%,31,0.0%,
,4,-20.0%,,,,,,,,,,,,,4,-20.0%,
,2,0.0%,,,,,,,,,,,,,2,0.0%,
,42,10.5%,2,0.0%,4,0.0%,1,0.0%,,,15,0.0%,1,0.0%,65,6.6%,
,20,-9.1%,1,0.0%,2,-33.3%,1,-50.0%,,,16,14.3%,1,100.0%,41,-2.4%,
,2114,-6.0%,56,-15.2%,234,-15.5%,112,-9.7%,14,-12.5%,45,2.3%,40,-9.1%,2615,-7.2%,
,3018,16.0%,116,-1.7%,369,17.9%,98,5.4%,17,-5.6%,18,-10.0%,38,-5.0%,3674,14.7%,
,3018,16.0%,116,-1.7%,369,17.9%,98,5.4%,17,-5.6%,18,-10.0%,38,-5.0%,3674,14.7%,
,8,,,,1,,,,,,7,,,,16,,
,6,,1,,,,2,,,,2,,,,11,,
,,,,,,,,,,,,,0,,0,,
,1,,,,,,,,,,,,,,1,,
,0,,,,,,,,,,,,,,0,,
,,,,,,,,,,,37,,,,37,,
,14,,3,,5,,2,,,,4,,3,,31,,
,29,,4,,6,,4,,,,50,,3,,96,,
,34201,1.6%,1073,0.8%,3678,-0.2%,1355,-1.9%,206,7.9%,3479,4.2%,626,-9.8%,44618,1.3%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,,,,,,
