Fall 2001,,Undergraduate,,,,,Masters,,,PhD,,,Professional,,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Re Admitted,Contin uing,1st Time Graduate,Re Admitted,Contin uing,1st Time Graduate,Re Admitted,Contin uing,1st Time Professional,Contin uing,,
Architecture,ARCH,34,2,33,7,288,59,1,83,10,6,33,,,186,
,COMG,,,,,,32,1,26,,,,,,59,
,COSC,,,,,,,,,,,,,,288,
,COSL,,,,,206,,,,,,,,,280,
,ENDL,103,,20,4,236,,,,,,,,,363,
,ENDS,,,,,351,1,,,,,,,,352,
,LADE,,,,,,21,,,,,,,,21,
,LAND,,,,,42,7,,15,1,,,,,65,
,LANL,9,,14,,72,,,,,,,,,95,
,LDEV,,,,,,,1,5,,,,,,6,
,URPL,,,,,,6,,6,,,,,,12,
,URSC,,,,,,2,,,2,,42,,,46,
,VIZA,,,,,,16,1,46,,,,,,63,
,Subtotal,146,,67,11,1195,144,4,181,13,,75,,,1836,
Business Admin,ACCT,,,9,5,532,89,,27,2,,17,,,681,
,AGBU,,,,,7,,,,,,,,,7,
,BUAD,846,,31,14,1108,156,,175,,,,,,2330,
,BUAG,4,,1,,2,,,,,,,,,7,
,FINC,,,3,8,600,90,,42,1,,6,,,750,
,INFO,,,3,9,564,,,,2,,12,,,590,
,MGMT,,,2,6,359,16,,17,4,,19,,,423,
,MISY,,,,,,63,2,45,,,,,,110,
,MKTG,,,2,7,817,33,,16,2,,8,,,885,
,MLER,,,,,,13,,18,,,,,,31,
,Subtotal,850,,51,49,3989,460,2,340,11,,62,,,5814,
Education,CPSY,,,,,,2,,1,2,,39,,,44,
,EDAD,,,,,,18,,111,7,,160,,,302,
,EDCI,,,,,,45,1,107,15,,95,,,263,
,EDHL,9,,9,5,183,,,,,,,,,206,
,EDIS,187,,178,20,729,,,,,,,,,1116,
,EDIT,,,8,,1,,,,,,,,,9,
,EDKI,97,,100,4,526,,,,,,,,,727,
,EDTC,,,,,,13,,28,,,,,,41,
,EHRD,,,,,,7,,41,9,,120,,,177,
,EPSY,,,,,,36,,91,10,,76,,,213,
,HEED,,,,,,6,,1,5,,9,,,21,
,HLTH,,,,2,123,,,,,,,,,125,
,IDTC,,,,,1,,,,,,,,,1,
,INST,,,,3,626,,,,,,,,,629,
,KINE,,,1,3,252,18,,22,4,,16,,,316,
,PHED,,,,,,2,,6,,,6,,,14,
,SPSY,,,,,,3,,,6,,43,,,52,
,TECR,,,,,20,,,,,,,,,20,
,Subtotal,293,2,296,37,2461,150,1,408,58,6,564,,,4276,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,,,,,
