Fall 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,4939,-10.2%,802,14.9%,73,-7.6%,,,5814,-7.3%,
Gender,Male,2306,-12.7%,478,8.1%,47,-4.1%,,,2831,-9.6%,
,Female,2633,-7.8%,324,26.6%,26,-13.3%,,,2983,-5.1%,
Ethnic,White,4227,-9.5%,546,13.0%,33,-15.4%,,,4806,-7.4%,
Origin,Black,94,-6.0%,18,38.5%,3,-25.0%,,,115,-1.7%,
,Hispanic,345,-12.4%,31,-16.2%,4,-20.0%,,,380,-12.8%,
,Asian,148,-5.1%,22,57.1%,0,-100.0%,,,170,-0.6%,
,American Indian,21,-12.5%,1,-50.0%,2,0.0%,,,24,-14.3%,
,International,41,-41.4%,167,17.6%,30,11.1%,,,238,-0.4%,
,Unknown/Other,63,-25.9%,17,142.9%,1,0.0%,,,81,-12.9%,
TAMU Age,<18,4,-20.0%,,,,,,,4,-20.0%,
Categories,18-21,3759,-7.7%,15,66.7%,,,,,3774,-7.5%,
,22-25,1104,-16.4%,361,5.6%,3,0.0%,,,1468,-11.9%,
,26-30,40,-28.6%,229,26.5%,20,-13.0%,,,289,11.2%,
,31-39,21,-22.2%,130,18.2%,30,-9.1%,,,181,6.5%,
,40+,11,-35.3%,67,19.6%,20,0.0%,,,98,5.4%,
Enrollment,1st Time in College,850,-4.1%,,,,,,,850,-4.1%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,460,10.3%,11,37.5%,,,471,10.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,51,-27.1%,,,,,,,51,-27.1%,
,Re Admitted,49,14.0%,2,100.0%,,,,,51,18.6%,
,Continuing,3989,-11.3%,340,21.0%,62,-12.7%,,,4391,-9.5%,
Tuition,Resident Tuition,4771,-9.4%,547,16.1%,25,-16.7%,,,5343,-7.4%,
Status,Non-Resident Tuition,94,-33.8%,41,-32.8%,17,6.3%,,,152,-30.6%,
,Tuition Exemption/Waiver,74,-16.9%,214,28.9%,31,-6.1%,,,319,10.8%,
Residency,Texas Resident,4778,-9.3%,553,17.4%,26,-18.8%,,,5357,-7.2%,
Status,"Non-TX, US Resident",118,-26.7%,82,-3.5%,17,-15.0%,,,217,-18.4%,
,"Non-TX, Non-US Resident",43,-38.6%,167,17.6%,30,11.1%,,,240,0.4%,
SCH,< 6 SCH,37,-19.6%,17,21.4%,22,-18.5%,,,76,-12.6%,
Categories,6-8 SCH,104,11.8%,23,21.1%,,,,,127,13.4%,
,9-11 SCH,197,-12.4%,205,33.1%,40,-9.1%,,,442,4.5%,
,12-14 SCH,3203,-8.9%,366,-1.3%,11,37.5%,,,3580,-8.1%,
,15-17 SCH,1349,-13.7%,176,31.3%,,,,,1525,-10.2%,
,>17 SCH,49,-7.5%,15,150.0%,,,,,64,8.5%,
Ft/Pt:,Less Than Half Time,28,-39.1%,16,23.1%,22,-12.0%,,,66,-21.4%,
"TAMU
Status",Half-Time,"102
193","9.7%
-14.2%",24,20.0%,0,-100.0%,,,"126
193","9.6%
-14.2%",
,Full-Time,4616,-10.1%,762,14.6%,51,-1.9%,,,5429,-7.2%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,
