Fall 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1975,-8.6%,60,-3.2%,83,-8.8%,497,-1.8%,2615,-7.2%,
Gender,Male,669,-9.2%,29,-3.3%,42,-2.3%,154,-6.7%,894,-8.3%,
,Female,1306,-8.2%,31,-3.1%,41,-14.6%,343,0.6%,1721,-6.7%,
Ethnic,White,1578,-7.1%,39,-11.4%,51,-1.9%,446,-1.8%,2114,-6.0%,
Origin,Black,53,-15.9%,2,100.0%,1,-50.0%,,,56,-15.2%,
,Hispanic,203,-16.1%,6,-14.3%,2,-50.0%,23,-4.2%,234,-15.5%,
,Asian,92,-9.8%,1,0.0%,1,-66.7%,18,0.0%,112,-9.7%,
,American Indian,10,-16.7%,,,,,4,0.0%,14,-12.5%,
,International,8,33.3%,11,22.2%,26,-10.3%,,,45,2.3%,
,Unknown/Other,31,-16.2%,1,100.0%,2,100.0%,6,0.0%,40,-9.1%,
TAMU Age,<18,8,-11.1%,,,,,,,8,-11.1%,
Categories,18-21,1598,-10.0%,1,100.0%,,,30,50.0%,1629,-9.3%,
,22-25,339,-0.6%,28,-15.2%,7,40.0%,284,-5.0%,658,-2.9%,
,26-30,21,-12.5%,20,33.3%,29,-19.4%,130,-0.8%,200,-2.9%,
,31-39,6,-14.3%,9,-25.0%,32,-8.6%,44,-6.4%,91,-9.9%,
,40+,3,0.0%,2,0.0%,15,0.0%,9,0.0%,29,0.0%,
Enrollment,1st Time in College,487,-19.4%,,,,,,,487,-19.4%,
Status,1st Time PB,0,-100.0%,,,,,,,0,-100.0%,
,1st Time Graduate,,,23,53.3%,5,-50.0%,,,28,12.0%,
,1st Time Professional,,,,,,,129,0.8%,129,0.8%,
,1st Time Transfer,75,-1.3%,,,,,,,75,-1.3%,
,Re Admitted,12,-14.3%,,,,,0,-100.0%,12,-20.0%,
,Continuing,1401,-4.0%,37,-21.3%,78,-3.7%,368,-2.4%,1884,-4.1%,
Tuition,Resident Tuition,1898,-8.6%,40,0.0%,36,-2.7%,476,-1.2%,2450,-7.0%,
Status,Non-Resident Tuition,43,-4.4%,5,66.7%,8,-27.3%,8,14.3%,64,-3.0%,
,Tuition Exemption/Waiver,34,-12.8%,15,-21.1%,39,-9.3%,13,-23.5%,101,-14.4%,
Residency,Texas Resident,1901,-8.4%,41,2.5%,36,-2.7%,476,-1.4%,2454,-6.9%,
Status,"Non-TX, US Resident",66,-15.4%,7,-46.2%,21,-16.0%,21,-8.7%,115,-17.3%,
,"Non-TX, Non-US Resident",8,33.3%,12,33.3%,26,-10.3%,,,46,4.5%,
SCH,< 6 SCH,10,-28.6%,16,-48.4%,21,-16.0%,,,47,-32.9%,
Categories,6-8 SCH,29,31.8%,5,-37.5%,4,300.0%,,,38,22.6%,
,9-11 SCH,45,36.4%,37,68.2%,58,-7.9%,,,140,18.6%,
,12-14 SCH,1286,-11.2%,2,100.0%,0,-100.0%,1,100.0%,1289,-11.1%,
,15-17 SCH,577,-6.5%,,,,,2,100.0%,579,-6.2%,
,>17 SCH,28,7.7%,,,0,-100.0%,494,-2.4%,522,-2.1%,
Ft/Pt:,Less Than Half Time,10,-28.6%,11,-54.2%,15,-28.6%,,,36,-39.0%,
"TAMU
Status",Half-Time,"28
44","27.3%
33.3%",10,-33.3%,10,100.0%,,,"48
44","14.3%
33.3%",
,Full-Time,1893,-9.5%,39,69.6%,58,-10.8%,497,-1.8%,2487,-7.4%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,
