Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Fall 2001,,,,,,,,,,,,
Fall 2001,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Male,White,15315,1.7%,1285,2.7%,766,-4.3%,142,-7.2%,17508,1.4%,
,Black,365,-2.1%,43,34.4%,23,-32.4%,,,431,-1.8%,
,Hispanic,1697,-1.0%,117,13.6%,59,-7.8%,4,33.3%,1877,-0.4%,
,Asian,667,-4.0%,48,-2.0%,21,-30.0%,3,-25.0%,739,-5.0%,
,American Indian,107,18.9%,5,0.0%,5,-16.7%,1,0.0%,118,15.7%,
,International,322,-10.1%,1244,9.0%,950,1.0%,,,2516,3.1%,
,Unknown/Other,280,-10.8%,35,52.2%,23,0.0%,4,0.0%,342,-6.0%,
,Subtotal,18753,0.8%,2777,6.6%,1847,-2.7%,154,-6.7%,23531,1.1%,
Female,White,14725,1.8%,1105,5.0%,559,-5.6%,304,1.0%,16693,1.7%,
,Black,524,1.6%,48,17.1%,70,1.4%,,,642,2.6%,
,Hispanic,1586,-0.1%,110,0.0%,86,6.2%,19,-9.5%,1801,0.1%,
,Asian,536,2.1%,41,-4.7%,24,14.3%,15,7.1%,616,2.2%,
,American Indian,80,1.3%,3,-25.0%,2,-33.3%,3,0.0%,88,-1.1%,
,International,150,-3.8%,510,7.8%,303,12.6%,,,963,7.2%,
,Unknown/Other,249,-16.2%,23,-4.2%,10,42.9%,2,0.0%,284,-13.9%,
,Subtotal,17850,1.3%,1840,5.3%,1054,1.2%,343,0.6%,21087,1.6%,
GRAND Total,,36603,1.0%,4617,6.1%,2901,-1.3%,497,-1.8%,44618,1.3%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,
