Fall 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,36603,1.0%,4617,6.1%,2901,-1.3%,497,-1.8%,44618,1.3%,
Gender,Male,18753,0.8%,2777,6.6%,1847,-2.7%,154,-6.7%,23531,1.1%,
,Female,17850,1.3%,1840,5.3%,1054,1.2%,343,0.6%,21087,1.6%,
Ethnic,White,30040,1.7%,2390,3.8%,1325,-4.8%,446,-1.8%,34201,1.6%,
Origin,Black,889,0.0%,91,24.7%,93,-9.7%,,,1073,0.8%,
,Hispanic,3283,-0.6%,227,6.6%,145,0.0%,23,-4.2%,3678,-0.2%,
,Asian,1203,-1.4%,89,-3.3%,45,-11.8%,18,0.0%,1355,-1.9%,
,American Indian,187,10.7%,8,-11.1%,7,-22.2%,4,0.0%,206,7.9%,
,International,472,-8.2%,1754,8.7%,1253,3.6%,,,3479,4.2%,
,Unknown/Other,529,-13.4%,58,23.4%,33,10.0%,6,0.0%,626,-9.8%,
TAMU Age,<18,68,-1.4%,,,,,,,68,-1.4%,
Categories,18-21,26239,1.3%,94,-2.1%,0,-100.0%,30,50.0%,26363,1.3%,
,22-25,9261,1.0%,2305,5.8%,204,1.0%,284,-5.0%,12054,1.7%,
,26-30,664,-3.2%,1265,5.3%,1010,-5.4%,130,-0.8%,3069,-0.6%,
,31-39,261,-7.4%,614,10.2%,1101,4.8%,44,-6.4%,2020,4.3%,
,40+,110,-6.0%,339,6.3%,586,-5.2%,9,0.0%,1044,-1.8%,
Enrollment,1st Time in College,6760,1.1%,,,,,,,6760,1.1%,
Status,1st Time PB,28,27.3%,,,,,,,28,27.3%,
,1st Time Graduate,,,1712,1.7%,295,-24.0%,,,2007,-3.1%,
,1st Time Professional,,,,,,,129,0.8%,129,0.8%,
,1st Time Transfer,1863,-2.1%,0,-100.0%,,,,,1863,-2.1%,
,Re Admitted,568,3.6%,15,100.0%,12,100.0%,0,-100.0%,595,8.4%,
,Continuing,27384,1.2%,2890,8.4%,2594,1.6%,368,-2.4%,33236,1.7%,
Tuition,Resident Tuition,34744,1.4%,2146,7.3%,1115,-3.0%,476,-1.2%,38481,1.6%,
Status,Non-Resident Tuition,1074,-3.3%,712,9.4%,455,-4.4%,8,14.3%,2249,0.2%,
,Tuition Exemption/Waiver,785,-8.7%,1759,3.5%,1331,1.3%,13,-23.5%,3888,-0.1%,
Residency,Texas Resident,34811,1.6%,2170,8.4%,1121,-3.2%,476,-1.4%,38578,1.8%,
Status,"Non-TX, US Resident",1309,-9.5%,690,-6.1%,518,-9.0%,21,-8.7%,2538,-8.5%,
,"Non-TX, Non-US Resident",483,-6.6%,1757,8.8%,1262,4.0%,,,3502,4.7%,
SCH,< 6 SCH,772,56.9%,727,9.2%,815,-6.2%,,,2314,14.2%,
Categories,6-8 SCH,882,7.4%,337,17.0%,131,-18.1%,,,1350,6.4%,
,9-11 SCH,1558,8.0%,2471,4.6%,1808,2.8%,,,5837,4.9%,
,12-14 SCH,23314,-0.6%,815,-1.3%,129,-3.0%,1,100.0%,24259,-0.7%,
,15-17 SCH,9496,0.7%,242,24.1%,15,0.0%,2,100.0%,9755,1.2%,
,>17 SCH,581,0.3%,25,78.6%,3,-40.0%,494,-2.4%,1103,-0.1%,
Ft/Pt:,Less Than Half Time,627,27.4%,634,10.1%,699,-7.3%,,,1960,7.6%,
"TAMU
Status",Half-Time,"765
1435","-6.8%
-0.5%",429,13.5%,247,-10.2%,,,"1441
1435","-2.2%
-0.5%",
,Full-Time,33776,0.9%,3554,4.6%,1955,2.3%,497,-1.8%,39782,1.3%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,
